contractInfo,id,salary,contractYear,conference,status
2025 UFA,13750,,1,0,nan
2025 UFA,15752,,1,0,nan
2025 UFA,16337,,1,0,nan
2025 UFA,17335,,1,0,nan
2025 UFA,12738,,1,0,nan
2025 UFA,12325,,1,0,nan
2025 UFA,12783,,1,0,nan
2025 UFA,13354,,1,0,nan
2025 UFA,13448,,1,0,nan
2025 UFA,16982,,1,0,nan
2025 UFA,15908,,1,0,nan
2025 UFA,15874,,1,0,nan
2025 UFA,16790,,1,0,nan
2025 UFA,15041,,1,0,nan
2025 UFA,15804,,1,0,nan
2025 UFA,17165,,1,0,nan
2025 UFA,15034,,1,0,nan
2025 UFA,15887,,1,0,nan
2025 UFA,15930,,1,0,nan
2025 UFA,17325,,1,0,nan
2025 UFA,12779,,1,0,nan
2025 UFA,15595,,1,0,nan
2025 UFA,14112,,1,0,nan
2025 UFA,16339,,1,0,nan
2025 UFA,13718,,1,0,nan
2025 UFA,11644,,1,0,nan
2025 UFA,16753,,1,0,nan
2025 UFA,16229,,1,0,nan
2025 UFA,12394,,1,0,nan
2025 UFA,16713,,1,0,nan
2025 UFA,13703,,1,0,nan
2025 UFA,15258,2.90,1,0,locked
2025 UFA,15432,,1,0,nan
2025 UFA,17348,,1,0,nan
2025 UFA,15870,,1,0,nan
2025 UFA,16854,,1,0,nan
2025 UFA,17317,,1,0,nan
2025 UFA,16806,,1,0,nan
2025 UFA,14850,,1,0,nan
2025 UFA,15568,,1,0,nan
2025 UFA,17355,,1,0,nan
2025 UFA,15723,,1,0,nan
2025 UFA,13668,,1,0,nan
2025 UFA,15984,,1,0,nan
2025 UFA,16875,,1,0,nan
2025 UFA,16492,,1,0,nan
2025 UFA,15965,,1,0,nan
2025 UFA,17372,,1,0,nan
2025 UFA,15057,,1,0,nan
2025 UFA,17269,,1,0,nan
2025 UFA,12930,,1,0,nan
2025 UFA,15194,,1,0,nan
2025 UFA,15837,,1,0,nan
2025 UFA,15364,,1,0,nan
2025 UFA,17319,,1,0,nan
2025 UFA,15826,,1,0,nan
2025 UFA,17381,,1,0,nan
2025 UFA,16325,,1,0,nan
2025 UFA,14841,,1,0,nan
2025 UFA,15878,,1,0,nan
2025 UFA,16313,,1,0,nan
2025 UFA,11706,,1,0,nan
2025 UFA,16331,,1,0,nan
2025 UFA,16072,,1,0,nan
2025 UFA,16885,,1,0,nan
2025 UFA,17378,,1,0,nan
2025 UFA,16789,,1,0,nan
2025 UFA,16810,,1,0,nan
2025 UFA,14155,,1,0,nan
2025 UFA,17410,,1,0,locked
2025 UFA,14238,,1,0,nan
2025 UFA,13675,,1,0,nan
2025 UFA,12257,,1,0,nan
2025 UFA,17328,,1,0,nan
2025 UFA,15991,,1,0,nan
2025 UFA,17284,,1,0,nan
2025 UFA,17040,,1,0,nan
2025 UFA,13128,,1,0,nan
2025 UFA,11674,,1,0,nan
2025 UFA,16453,,1,0,nan
2025 UFA,12175,,1,0,nan
2025 UFA,17333,,1,0,nan
2025 UFA,16636,,1,0,nan
2025 UFA,15002,,1,0,nan
2025 UFA,15772,,1,0,nan
2025 UFA,14253,,1,0,nan
2025 UFA,16455,,1,0,nan
2025 UFA,13862,,1,0,nan
2025 UFA,17246,,1,0,nan
2025 UFA,16395,,1,0,nan
2025 UFA,17380,,1,0,nan
2025 UFA,12184,,1,0,nan
2025 UFA,16771,,1,0,nan
2025 UFA,16796,,1,0,nan
2025 UFA,16157,,1,0,nan
2025 UFA,13216,,1,0,nan
2025 UFA,16998,,1,0,nan
2025 UFA,14815,,1,0,nan
2025 UFA,14978,,1,0,nan
2025 UFA,12276,,1,0,nan
2025 UFA,15321,,1,0,nan
2025 UFA,13688,,1,0,nan
2025 UFA,15891,,1,0,nan
2025 UFA,15343,,1,0,nan
2025 UFA,14911,,1,0,nan
2025 UFA,17320,,1,0,nan
2025 UFA,13710,,1,0,nan
2025 UFA,16299,,1,0,nan
2025 UFA,14845,,1,0,nan
2025 UFA,14037,,1,0,nan
2025 UFA,15373,,1,0,nan
2025 UFA,17309,,1,0,nan
2025 UFA,16877,,1,0,nan
2025 UFA,15931,,1,0,nan
2025 UFA,14987,,1,0,nan
2025 UFA,15738,,1,0,nan
2025 UFA,13479,,1,0,nan
2025 UFA,14898,,1,0,nan
2025 UFA,14996,,1,0,nan
2025 UFA,15746,,1,0,nan
2025 UFA,12771,,1,0,nan
2025 UFA,16441,,1,0,nan
2025 UFA,14876,,1,0,nan
2025 UFA,17294,,1,0,nan
2025 UFA,16484,,1,0,nan
2025 UFA,16439,,1,0,nan
2025 UFA,16756,,1,0,nan
2025 UFA,17262,,1,0,nan
2025 UFA,12349,,1,0,nan
2025 UFA,14903,,1,0,nan
2025 UFA,14805,,1,0,nan
2025 UFA,15468,,1,0,nan
2025 UFA,17281,,1,0,nan
2025 UFA,13763,,1,0,nan
2025 UFA,12842,,1,0,nan
2025 UFA,13119,,1,0,nan
2025 UFA,17265,,1,0,nan
2025 UFA,16657,,1,0,nan
2025 UFA,12188,,1,0,nan
2025 UFA,15129,,1,0,nan
2025 UFA,14108,,1,0,nan
2025 UFA,16409,,1,0,nan
2025 UFA,15755,,1,0,nan
2025 UFA,16354,,1,0,nan
2025 UFA,12623,,1,0,nan
2025 UFA,16429,,1,0,nan
2025 UFA,16374,,1,0,nan
2025 UFA,16889,,1,0,nan
2025 UFA,15797,,1,0,nan
2025 UFA,14315,,1,0,nan
2025 UFA,12234,,1,0,nan
2025 UFA,15888,,1,0,nan
2025 UFA,16520,,1,0,nan
2025 UFA,16218,,1,0,nan
2025 UFA,14847,,1,0,nan
2025 UFA,13988,,1,0,nan
2025 UFA,13294,,1,0,nan
2025 UFA,15464,,1,0,nan
2025 UFA,13726,,1,0,nan
2025 UFA,13716,,1,0,nan
2025 UFA,17057,,1,0,nan
2025 UFA,13850,,1,0,nan
2025 UFA,17390,,1,0,nan
2025 UFA,12219,,1,0,nan
2025 UFA,14222,,1,0,nan
2025 UFA,14803,,1,0,nan
2025 UFA,14401,,1,0,nan
2025 UFA,15250,,1,0,nan
2025 UFA,16666,,1,0,nan
2025 UFA,13404,,1,0,nan
2025 UFA,14670,,1,0,nan
2025 UFA,15847,,1,0,nan
2025 UFA,12625,,1,0,nan
2025 UFA,13303,,1,0,nan
2025 UFA,14934,,1,0,nan
2025 UFA,15862,,1,0,nan
2025 UFA,17067,,1,0,nan
2025 UFA,14270,,1,0,nan
2025 UFA,15302,,1,0,nan
2025 UFA,16595,,1,0,nan
2025 UFA,15880,,1,0,nan
2025 UFA,15275,,1,0,nan
2025 UFA,14808,,1,0,nan
2025 UFA,17109,,1,0,nan
2025 UFA,13699,,1,0,nan
2025 UFA,16163,,1,0,nan
2025 UFA,13236,,1,0,nan
2025 UFA,15780,,1,0,nan
2025 UFA,16986,,1,0,nan
2025 UFA,15360,,1,0,nan
2025 UFA,17191,,1,0,nan
2025 UFA,15335,,1,0,nan
2025 UFA,15883,,1,0,nan
2025 UFA,15303,,1,0,nan
2025 UFA,15270,,1,0,nan
2025 UFA,14151,,1,0,nan
2025 UFA,17243,,1,0,nan
2025 UFA,15431,,1,0,nan
2025 UFA,16515,,1,0,nan
2025 UFA,13919,,1,0,nan
2025 UFA,16557,,1,0,nan
2025 UFA,15925,,1,0,nan
2025 UFA,15407,,1,0,nan
2025 UFA,15117,,1,0,nan
2025 UFA,17090,,1,0,nan
2025 UFA,17314,,1,0,nan
2025 UFA,16778,,1,0,nan
2025 UFA,16064,,1,0,nan
2025 UFA,13778,,1,0,nan
2025 UFA,16253,,1,0,nan
2025 UFA,16669,,1,0,nan
2025 UFA,15942,,1,0,nan
2025 UFA,14012,,1,0,nan
2025 UFA,16379,,1,0,nan
2025 UFA,13134,,1,0,nan
2025 UFA,15437,,1,0,nan
2025 UFA,15070,,1,0,nan
2025 UFA,16260,,1,0,nan
2025 UFA,14946,,1,0,nan
2025 UFA,13129,,1,0,nan
2025 UFA,13085,,1,0,nan
2025 UFA,16030,,1,0,nan
2025 UFA,15148,,1,0,nan
2025 UFA,13770,,1,0,nan
2025 UFA,15244,,1,0,nan
2025 UFA,17210,,1,0,nan
2025 UFA,13617,,1,0,nan
2025 UFA,14781,,1,0,nan
2025 UFA,14991,,1,0,nan
2025 UFA,12714,,1,0,nan
2025 UFA,14904,,1,0,nan
2025 UFA,16892,,1,0,nan
2025 UFA,13809,,1,0,nan
2025 UFA,16884,,1,0,nan
2025 UFA,14237,,1,0,nan
2025 UFA,14901,,1,0,nan
2025 UFA,13646,,1,0,nan
2025 UFA,16841,,1,0,nan
2025 UFA,16144,,1,0,nan
2025 UFA,13888,,1,0,nan
2025 UFA,15833,,1,0,nan
2025 UFA,14081,,1,0,nan
2025 UFA,14926,,1,0,nan
2025 UFA,16925,,1,0,nan
2025 UFA,17300,,1,0,nan
2025 UFA,13672,,1,0,nan
2025 UFA,11265,,1,0,nan
2025 UFA,16009,,1,0,nan
2025 UFA,14852,,1,0,nan
2025 UFA,14495,,1,0,nan
2025 UFA,14737,,1,0,nan
2025 UFA,15141,,1,0,nan
2025 UFA,15957,,1,0,nan
2025 UFA,14489,,1,0,nan
2025 UFA,15103,,1,0,nan
2025 UFA,15499,,1,0,nan
2025 UFA,10789,,1,0,nan
2025 UFA,11010,,1,0,nan
2025 UFA,14962,,1,0,nan
2025 UFA,16416,,1,0,nan
2025 UFA,14652,,1,0,nan
2025 UFA,13317,,1,0,nan
2025 UFA,12271,,1,0,nan
2025 UFA,15397,,1,0,nan
2025 UFA,13347,,1,0,nan
2025 UFA,15935,,1,0,nan
2025 UFA,17384,,1,0,nan
2025 UFA,15730,,1,0,nan
2025 UFA,12978,,1,0,nan
2025 UFA,11239,,1,0,nan
2025 UFA,12151,,1,0,nan
2025 UFA,16599,,1,0,nan
2025 UFA,12751,,1,0,nan
2025 UFA,16732,,1,0,nan
2025 UFA,9826,,1,0,nan
2025 UFA,16373,,1,0,nan
2025 UFA,15429,,1,0,nan
2025 UFA,16979,,1,0,nan
2025 UFA,15419,,1,0,nan
2025 UFA,15381,,1,0,nan
2025 UFA,15782,,1,0,nan
2025 UFA,16173,,1,0,nan
2025 UFA,13942,,1,0,nan
2025 UFA,16349,,1,0,nan
2025 UFA,16922,,1,0,nan
2025 UFA,17351,,1,0,nan
2025 UFA,16956,,1,0,nan
2025 UFA,14062,,1,0,nan
2025 UFA,16833,,1,0,nan
2025 UFA,13273,,1,0,nan
2025 UFA,17298,,1,0,nan
2025 UFA,14878,,1,0,nan
2025 UFA,12828,,1,0,nan
2025 UFA,16444,,1,0,nan
2025 UFA,16688,,1,0,nan
2025 UFA,10457,,1,0,nan
2025 UFA,14337,,1,0,nan
2025 UFA,13430,,1,0,nan
2025 UFA,16776,,1,0,nan
2025 UFA,16156,,1,0,nan
2025 UFA,16531,,1,0,nan
2025 UFA,16025,,1,0,nan
2025 UFA,16874,,1,0,nan
2025 UFA,16661,,1,0,nan
2025 UFA,14964,,1,0,nan
2025 UFA,15406,,1,0,nan
2025 UFA,16154,,1,0,nan
2025 UFA,15812,,1,0,nan
2025 UFA,16340,,1,0,nan
2025 UFA,12923,,1,0,nan
2025 UFA,12976,,1,0,nan
2025 UFA,14930,,1,0,nan
2025 UFA,17245,,1,0,nan
2025 UFA,17199,,1,0,nan
2025 UFA,14837,,1,0,nan
2025 UFA,15469,,1,0,nan
2025 UFA,16744,,1,0,nan
2025 UFA,16318,,1,0,nan
2025 UFA,17211,,1,0,nan
2025 UFA,13683,,1,0,nan
2025 UFA,11281,,1,0,nan
2025 UFA,16019,,1,0,nan
2025 UFA,16784,,1,0,nan
2025 UFA,14113,,1,0,nan
2025 UFA,15943,,1,0,nan
2025 UFA,16928,,1,0,nan
2025 UFA,16800,,1,0,nan
2025 UFA,13204,,1,0,nan
2025 UFA,15823,,1,0,nan
2025 UFA,14543,,1,0,nan
2025 UFA,14716,,1,0,nan
2025 UFA,15719,,1,0,nan
2025 UFA,17221,,1,0,nan
2025 UFA,15254,,1,0,nan
2025 UFA,11872,,1,0,nan
2025 UFA,14213,,1,0,nan
2025 UFA,14891,,1,0,nan
2025 UFA,13715,,1,0,nan
2025 UFA,16587,,1,0,nan
2025 UFA,14558,,1,0,nan
2025 UFA,15720,,1,0,nan
2025 UFA,17226,,1,0,nan
2025 UFA,14821,,1,0,nan
2025 UFA,16043,,1,0,nan
2025 UFA,17213,,1,0,nan
2025 UFA,16341,,1,0,nan
2025 UFA,16886,,1,0,nan
2025 UFA,16326,,1,0,nan
2025 UFA,13771,,1,0,nan
2025 UFA,16413,,1,0,nan
2025 UFA,16458,,1,0,nan
2025 UFA,12476,,1,0,nan
2025 UFA,10945,,1,0,nan
2025 UFA,16352,,1,0,nan
2025 UFA,17190,,1,0,nan
2025 UFA,16000,,1,0,nan
2025 UFA,14905,,1,0,nan
2025 UFA,14087,,1,0,nan
2025 UFA,17283,,1,0,nan
2025 UFA,16306,,1,0,nan
2025 UFA,15271,,1,0,nan
2025 UFA,13914,,1,0,nan
2025 UFA,16058,,1,0,nan
2025 UFA,15564,,1,0,nan
2025 UFA,12481,,1,0,nan
2025 UFA,15800,,1,0,nan
2025 UFA,17000,,1,0,nan
2025 UFA,15956,,1,0,nan
2025 UFA,16727,,1,0,nan
2025 UFA,12287,,1,0,nan
2025 UFA,16333,,1,0,nan
2025 UFA,17286,,1,0,nan
2025 UFA,16761,,1,0,nan
2025 UFA,16425,,1,0,nan
2025 UFA,12589,,1,0,nan
2025 UFA,13414,,1,0,nan
2025 UFA,13622,,1,0,nan
2025 UFA,16007,,1,0,nan
2025 UFA,13963,,1,0,nan
2025 UFA,14849,,1,0,nan
2025 UFA,16608,,1,0,nan
2025 UFA,14260,,1,0,nan
2025 UFA,17301,,1,0,nan
2025 UFA,16807,,1,0,nan
2025 UFA,14266,,1,0,nan
2025 UFA,14944,,1,0,nan
2025 UFA,13755,,1,0,nan
2025 UFA,14083,,1,0,nan
2025 UFA,16151,,1,0,nan
2025 UFA,13228,,1,0,nan
2025 UFA,11387,,1,0,nan
2025 UFA,16710,,1,0,nan
2025 UFA,17234,,1,0,nan
2025 UFA,16290,,1,0,nan
2025 UFA,15983,,1,0,nan
2025 UFA,15928,,1,0,nan
2025 UFA,12742,,1,0,nan
2025 UFA,16311,,1,0,nan
2025 UFA,15693,,1,0,nan
2025 UFA,13684,,1,0,nan
2025 UFA,14966,,1,0,nan
2025 UFA,17095,,1,0,nan
2025 UFA,14370,,1,0,nan
2025 UFA,9853,,1,0,nan
2025 UFA,16180,,1,0,nan
2025 UFA,16017,,1,0,nan
2025 UFA,14118,,1,0,nan
2025 UFA,17350,,1,0,nan
2025 UFA,13680,,1,0,nan
2025 UFA,13691,,1,0,nan
2025 UFA,16183,,1,0,nan
2025 UFA,11382,,1,0,nan
2025 UFA,17188,,1,0,nan
2025 UFA,14919,,1,0,nan
2025 UFA,16285,,1,0,nan
2025 UFA,16485,,1,0,nan
2025 UFA,14420,,1,0,nan
2025 UFA,16059,,1,0,nan
2025 UFA,15734,,1,0,nan
2025 UFA,17193,,1,0,nan
2025 UFA,14551,,1,0,nan
2025 UFA,14121,,1,0,nan
2025 UFA,16366,,1,0,nan
2025 UFA,17287,,1,0,nan
2025 UFA,16457,,1,0,nan
2025 UFA,13226,,1,0,nan
2025 UFA,16740,,1,0,nan
2025 UFA,17194,,1,0,nan
2025 UFA,17289,,1,0,nan
2025 UFA,15899,,1,0,nan
2025 UFA,15016,,1,0,nan
2025 UFA,17249,,1,0,nan
2025 UFA,15277,,1,0,nan
2025 UFA,13738,,1,0,nan
2025 UFA,15811,,1,0,nan
2025 UFA,13229,,1,0,nan
2025 UFA,17297,,1,0,nan
2025 UFA,17329,,1,0,nan
2025 UFA,16964,,1,0,nan
2025 UFA,16758,,1,0,nan
2025 UFA,15918,,1,0,nan
2025 UFA,9861,,1,0,nan
2025 UFA,16456,,1,0,nan
2025 UFA,17398,,1,0,nan
2025 UFA,17117,,1,0,nan
2025 UFA,17342,,1,0,nan
2025 UFA,16715,,1,0,nan
2025 UFA,17341,,1,0,nan
2025 UFA,16533,,1,0,nan
2025 UFA,14859,,1,0,nan
2025 UFA,14060,,1,0,nan
2025 UFA,16815,,1,0,nan
2025 UFA,16764,,1,0,nan
2025 UFA,16198,,1,0,nan
2025 UFA,16780,,1,0,nan
2025 UFA,15451,,1,0,nan
2025 UFA,15262,,1,0,nan
2025 UFA,16721,,1,0,nan
2025 UFA,12796,,1,0,nan
2025 UFA,11327,,1,0,nan
2025 UFA,16919,,1,0,nan
2025 UFA,17373,,1,0,nan
2025 UFA,13288,,1,0,nan
2025 UFA,16957,,1,0,nan
2025 UFA,13702,,1,0,nan
2025 UFA,17272,,1,0,nan
2025 UFA,16362,,1,0,nan
2025 UFA,16246,,1,0,nan
2025 UFA,12700,,1,0,nan
2025 UFA,15987,,1,0,nan
2025 UFA,15424,,1,0,nan
2025 UFA,15586,,1,0,nan
2025 UFA,16777,,1,0,nan
2025 UFA,14853,,1,0,nan
2025 UFA,16801,,1,0,nan
2025 UFA,14331,,1,0,nan
2025 UFA,16277,,1,0,nan
2025 UFA,16376,,1,0,nan
2025 UFA,16609,,1,0,nan
2025 UFA,14208,,1,0,nan
2025 UFA,16861,,1,0,nan
2025 UFA,17344,,1,0,nan
2025 UFA,15897,,1,0,nan
2025 UFA,17315,,1,0,nan
2025 UFA,14359,,1,0,nan
2025 UFA,14924,,1,0,nan
2025 UFA,15783,,1,0,nan
2025 UFA,13274,,1,0,nan
2025 UFA,9207,,1,0,nan
2025 UFA,16883,,1,0,nan
2025 UFA,14205,,1,0,nan
2025 UFA,17266,,1,0,nan
2025 UFA,15959,,1,0,nan
2025 UFA,15481,,1,0,nan
2025 UFA,16175,,1,0,nan
2025 UFA,16837,,1,0,nan
2025 UFA,13848,,1,0,nan
2025 UFA,16055,,1,0,nan
2025 UFA,16357,,1,0,nan
2025 UFA,15165,,1,0,nan
2025 UFA,16476,,1,0,nan
2025 UFA,17383,,1,0,nan
2025 UFA,16203,,1,0,nan
2025 UFA,13332,,1,0,nan
2025 UFA,11793,,1,0,nan
2025 UFA,12745,,1,0,nan
2025 UFA,16709,,1,0,nan
2025 UFA,15881,1,1,0,locked
2025 UFA,16714,,1,0,nan
2025 UFA,16026,,1,0,nan
2025 UFA,16350,,1,0,nan
2025 UFA,12988,,1,0,nan
2025 UFA,10271,,1,0,nan
2025 UFA,13748,,1,0,nan
2025 UFA,15618,,1,0,nan
2025 UFA,16370,,1,0,nan
2025 UFA,15398,,1,0,nan
2025 UFA,17170,,1,0,nan
2025 UFA,16005,,1,0,nan
2025 UFA,14828,,1,0,nan
2025 UFA,15767,,1,0,nan
2025 UFA,16114,,1,0,nan
2025 UFA,13176,,1,0,nan
2025 UFA,15330,,1,0,nan
2025 UFA,16773,,1,0,nan
2025 UFA,16505,,1,0,nan
2025 UFA,13898,,1,0,nan
2025 UFA,15383,,1,0,nan
2025 UFA,9904,,1,0,nan
2025 UFA,17304,,1,0,nan
2025 UFA,12795,,1,0,nan
2025 UFA,17343,,1,0,nan
2025 UFA,11367,,1,0,nan
2025 UFA,16742,,1,0,nan
2025 UFA,16798,,1,0,nan
2025 UFA,14880,,1,0,nan
2025 UFA,16775,,1,0,nan
2025 UFA,13301,,1,0,nan
2025 UFA,12720,,1,0,nan
2025 UFA,14939,,1,0,nan
2025 UFA,10948,,1,0,nan
2025 UFA,14807,,1,0,nan
2025 UFA,13619,,1,0,nan
2025 UFA,16316,1,1,0,locked
2025 UFA,15924,,1,0,nan
2025 UFA,12239,,1,0,nan
2025 UFA,17183,,1,0,nan
2025 UFA,14503,,1,0,nan
2025 UFA,17248,,1,0,nan
2025 UFA,13682,,1,0,nan
2025 UFA,15527,,1,0,nan
2025 UFA,17371,,1,0,nan
2025 UFA,16863,,1,0,nan
2025 UFA,15929,,1,0,nan
2025 UFA,12776,,1,0,nan
2025 UFA,17316,,1,0,nan
2025 UFA,17274,,1,0,nan
2025 UFA,13232,,1,0,nan
2025 UFA,16674,,1,0,nan
2025 UFA,13250,,1,0,nan
2025 UFA,17230,,1,0,nan
2025 UFA,15535,,1,0,nan
2025 UFA,17310,,1,0,nan
2025 UFA,16722,,1,0,nan
2025 UFA,17376,,1,0,nan
2025 UFA,14143,,1,0,nan
2025 UFA,16016,,1,0,nan
2025 UFA,15795,,1,0,nan
2025 UFA,17218,,1,0,nan
2025 UFA,13403,,1,0,nan
2025 UFA,13262,,1,0,nan
2025 UFA,17133,,1,0,nan
2025 UFA,17352,,1,0,nan
2025 UFA,15970,,1,0,nan
2025 UFA,17110,,1,0,nan
2025 UFA,14442,,1,0,nan
2025 UFA,16249,,1,0,nan
2025 UFA,17111,,1,0,nan
2025 UFA,16302,,1,0,nan
2025 UFA,14452,,1,0,nan
2025 UFA,16418,,1,0,nan
2025 UFA,11680,,1,0,nan
2025 UFA,17229,,1,0,nan
2025 UFA,17349,,1,0,nan
2025 UFA,13224,1.10,1,0,locked
2025 UFA,16217,,1,0,nan
2025 UFA,16613,,1,0,nan
2025 UFA,13202,,1,0,nan
2025 UFA,12687,,1,0,nan
2025 UFA,16132,,1,0,nan
2025 UFA,15818,,1,0,nan
2025 UFA,16591,,1,0,nan
2025 UFA,13336,,1,0,nan
2025 UFA,16755,,1,0,nan
2025 UFA,16343,,1,0,nan
2025 UFA,15944,,1,0,nan
2025 UFA,13733,,1,0,nan
2025 UFA,16529,,1,0,nan
