contractInfo,salary,contractYear,id,conference,status
2025 UFA,,1,17358,0,nan
2025 UFA,,1,16834,0,nan
2025 UFA,,1,14942,0,nan
2025 UFA,,1,13750,0,nan
2025 UFA,,1,16337,0,nan
2025 UFA,,1,17335,0,nan
2025 UFA,,1,12738,0,nan
2025 UFA,,1,16632,0,nan
2025 UFA,,1,12325,0,nan
2025 UFA,,1,12783,0,nan
2025 UFA,,1,16982,0,nan
2025 UFA,,1,15908,0,nan
2025 UFA,,1,15874,0,nan
2025 UFA,,1,16790,0,nan
2025 UFA,,1,15041,0,nan
2025 UFA,,1,15804,0,nan
2025 UFA,,1,15034,0,nan
2025 UFA,,1,15887,0,nan
2025 UFA,,1,17418,0,nan
2025 UFA,,1,15930,0,nan
2025 UFA,,1,17325,0,nan
2025 UFA,,1,12779,0,nan
2025 UFA,,1,15595,0,nan
2025 UFA,,1,14112,0,nan
2025 UFA,,1,17439,0,locked
2025 UFA,,1,16738,0,nan
2025 UFA,,1,16339,0,nan
2025 UFA,,1,13718,0,nan
2025 UFA,,1,11644,0,nan
2025 UFA,,1,16753,0,nan
2025 UFA,,1,16229,0,nan
2025 UFA,,1,12394,0,nan
2025 UFA,,1,16713,0,nan
2025 UFA,,1,13703,0,nan
2025 UFA,,1,15258,0,nan
2025 UFA,,1,15432,0,nan
2025 UFA,,1,15870,0,nan
2025 UFA,,1,16854,0,nan
2025 UFA,,1,17317,0,nan
2025 UFA,,1,16806,0,nan
2025 UFA,,1,14850,0,nan
2025 UFA,,1,15568,0,nan
2025 UFA,,1,17355,0,nan
2025 UFA,,1,15723,0,nan
2025 UFA,,1,13668,0,nan
2025 UFA,,1,15984,0,nan
2025 UFA,,1,16875,0,nan
2025 UFA,,1,16492,0,nan
2025 UFA,,1,15965,0,nan
2025 UFA,,1,17372,0,nan
2025 UFA,,1,15057,0,nan
2025 UFA,,1,12930,0,nan
2025 UFA,,1,15194,0,nan
2025 UFA,,1,13610,0,nan
2025 UFA,,1,15837,0,nan
2025 UFA,,1,17319,0,nan
2025 UFA,,1,13322,0,nan
2025 UFA,,1,15826,0,nan
2025 UFA,,1,17381,0,nan
2025 UFA,,1,17430,0,nan
2025 UFA,,1,16325,0,nan
2025 UFA,,1,14841,0,nan
2025 UFA,,1,15878,0,nan
2025 UFA,,1,16313,0,nan
2025 UFA,,1,11706,0,nan
2025 UFA,,1,16331,0,nan
2025 UFA,,1,16072,0,nan
2025 UFA,,1,16885,0,nan
2025 UFA,,1,17378,0,nan
2025 UFA,,1,16789,0,nan
2025 UFA,,1,16810,0,nan
2025 UFA,,1,14155,0,nan
2025 UFA,,1,17410,0,nan
2025 UFA,,1,14238,0,nan
2025 UFA,,1,13675,0,nan
2025 UFA,,1,12257,0,nan
2025 UFA,,1,17328,0,nan
2025 UFA,,1,15991,0,nan
2025 UFA,,1,17284,0,nan
2025 UFA,,1,17040,0,nan
2025 UFA,,1,13128,0,nan
2025 UFA,,1,13844,0,nan
2025 UFA,,1,11674,0,nan
2025 UFA,,1,16453,0,nan
2025 UFA,,1,12175,0,nan
2025 UFA,,1,17333,0,nan
2025 UFA,,1,16636,0,nan
2025 UFA,,1,15002,0,nan
2025 UFA,,1,15772,0,nan
2025 UFA,,1,14253,0,nan
2025 UFA,,1,16455,0,nan
2025 UFA,,1,13862,0,nan
2025 UFA,,1,17246,0,nan
2025 UFA,,1,16395,0,nan
2025 UFA,,1,17380,0,nan
2025 UFA,,1,12184,0,nan
2025 UFA,,1,16771,0,nan
2025 UFA,,1,16796,0,nan
2025 UFA,,1,16157,0,nan
2025 UFA,,1,13216,0,nan
2025 UFA,,1,16998,0,nan
2025 UFA,,1,14815,0,nan
2025 UFA,,1,14978,0,nan
2025 UFA,,1,12276,0,nan
2025 UFA,,1,15321,0,nan
2025 UFA,,1,13688,0,nan
2025 UFA,,1,15891,0,nan
2025 UFA,,1,14883,0,nan
2025 UFA,,1,15343,0,nan
2025 UFA,,1,14911,0,nan
2025 UFA,,1,17320,0,nan
2025 UFA,,1,16299,0,nan
2025 UFA,,1,14845,0,nan
2025 UFA,,1,16783,0,nan
2025 UFA,,1,14037,0,nan
2025 UFA,,1,15373,0,nan
2025 UFA,,1,17309,0,nan
2025 UFA,,1,16877,0,nan
2025 UFA,,1,15931,0,nan
2025 UFA,,1,14987,0,nan
2025 UFA,,1,15738,0,nan
2025 UFA,,1,13479,0,nan
2025 UFA,,1,14898,0,nan
2025 UFA,,1,14996,0,nan
2025 UFA,,1,15746,0,nan
2025 UFA,,1,12771,0,nan
2025 UFA,,1,16441,0,nan
2025 UFA,,1,14876,0,nan
2025 UFA,,1,17294,0,nan
2025 UFA,,1,16484,0,nan
2025 UFA,,1,16439,0,nan
2025 UFA,,1,16756,0,nan
2025 UFA,,1,13927,0,nan
2025 UFA,,1,13782,0,nan
2025 UFA,,1,17262,0,nan
2025 UFA,,1,12349,0,nan
2025 UFA,,1,14903,0,nan
2025 UFA,,1,14805,0,nan
2025 UFA,,1,15468,0,nan
2025 UFA,,1,17281,0,nan
2025 UFA,,1,13763,0,nan
2025 UFA,,1,12842,0,nan
2025 UFA,,1,13119,0,nan
2025 UFA,,1,17265,0,nan
2025 UFA,,1,12188,0,nan
2025 UFA,,1,15129,0,nan
2025 UFA,,1,16409,0,nan
2025 UFA,,1,15755,0,nan
2025 UFA,,1,16354,0,nan
2025 UFA,,1,12623,0,nan
2025 UFA,,1,16429,0,nan
2025 UFA,,1,16374,0,nan
2025 UFA,,1,16889,0,nan
2025 UFA,,1,15797,0,nan
2025 UFA,,1,14315,0,nan
2025 UFA,,1,12234,0,nan
2025 UFA,,1,15888,0,nan
2025 UFA,,1,16520,0,nan
2025 UFA,,1,16218,0,nan
2025 UFA,,1,14847,0,nan
2025 UFA,,1,13988,0,nan
2025 UFA,,1,14953,0,nan
2025 UFA,,1,13294,0,nan
2025 UFA,,1,15464,0,nan
2025 UFA,,1,13726,0,nan
2025 UFA,,1,17422,0,nan
2025 UFA,,1,13716,0,nan
2025 UFA,,1,17057,0,nan
2025 UFA,,1,13850,0,nan
2025 UFA,,1,17390,0,nan
2025 UFA,,1,12219,0,nan
2025 UFA,,1,14222,0,nan
2025 UFA,,1,14803,0,nan
2025 UFA,,1,14401,0,nan
2025 UFA,,1,15250,0,nan
2025 UFA,,1,16666,0,nan
2025 UFA,,1,14670,0,nan
2025 UFA,,1,15847,0,nan
2025 UFA,,1,12625,0,nan
2025 UFA,,1,14934,0,nan
2025 UFA,,1,15681,0,nan
2025 UFA,,1,15862,0,nan
2025 UFA,,1,17067,0,nan
2025 UFA,,1,15813,0,nan
2025 UFA,,1,14270,0,nan
2025 UFA,,1,15302,0,nan
2025 UFA,,1,16595,0,nan
2025 UFA,,1,15880,0,nan
2025 UFA,,1,15275,0,nan
2025 UFA,,1,14808,0,nan
2025 UFA,,1,16351,0,nan
2025 UFA,,1,17109,0,nan
2025 UFA,,1,13699,0,nan
2025 UFA,,1,16163,0,nan
2025 UFA,,1,13236,0,nan
2025 UFA,,1,15780,0,nan
2025 UFA,,1,16986,0,nan
2025 UFA,,1,15360,0,nan
2025 UFA,,1,15335,0,nan
2025 UFA,,1,15883,0,nan
2025 UFA,,1,13798,0,nan
2025 UFA,,1,15303,0,nan
2025 UFA,,1,15270,0,nan
2025 UFA,,1,17243,0,nan
2025 UFA,,1,15431,0,nan
2025 UFA,,1,16515,0,nan
2025 UFA,,1,13919,0,nan
2025 UFA,,1,16557,0,nan
2025 UFA,,1,15925,0,nan
2025 UFA,,1,15407,0,nan
2025 UFA,,1,15117,0,nan
2025 UFA,,1,17090,0,nan
2025 UFA,,1,17314,0,nan
2025 UFA,,1,16064,0,nan
2025 UFA,,1,13778,0,nan
2025 UFA,,1,12734,0,nan
2025 UFA,,1,16669,0,nan
2025 UFA,,1,15942,0,nan
2025 UFA,,1,14012,0,nan
2025 UFA,,1,16379,0,nan
2025 UFA,,1,13134,0,nan
2025 UFA,,1,15437,0,nan
2025 UFA,,1,15070,0,nan
2025 UFA,,1,16260,0,nan
2025 UFA,,1,14946,0,nan
2025 UFA,,1,13129,0,nan
2025 UFA,,1,13085,0,nan
2025 UFA,,1,16030,0,nan
2025 UFA,,1,15148,0,nan
2025 UFA,,1,13770,0,nan
2025 UFA,,1,15244,0,nan
2025 UFA,,1,17210,0,nan
2025 UFA,,1,13617,0,nan
2025 UFA,,1,14781,0,nan
2025 UFA,,1,14991,0,nan
2025 UFA,,1,12714,0,nan
2025 UFA,,1,14904,0,nan
2025 UFA,,1,16892,0,nan
2025 UFA,,1,13809,0,nan
2025 UFA,,1,16884,0,nan
2025 UFA,,1,14237,0,nan
2025 UFA,,1,14901,0,nan
2025 UFA,,1,13646,0,nan
2025 UFA,,1,9694,0,nan
2025 UFA,,1,16841,0,nan
2025 UFA,,1,16144,0,nan
2025 UFA,,1,14081,0,nan
2025 UFA,,1,14244,0,nan
2025 UFA,,1,14926,0,nan
2025 UFA,,1,16925,0,nan
2025 UFA,,1,17300,0,nan
2025 UFA,,1,11265,0,nan
2025 UFA,,1,16009,0,nan
2025 UFA,,1,14852,0,nan
2025 UFA,,1,14495,0,nan
2025 UFA,,1,14737,0,nan
2025 UFA,,1,15141,0,nan
2025 UFA,,1,15957,0,nan
2025 UFA,,1,14489,0,nan
2025 UFA,,1,15103,0,nan
2025 UFA,,1,15499,0,nan
2025 UFA,,1,10789,0,nan
2025 UFA,,1,11010,0,nan
2025 UFA,,1,14962,0,nan
2025 UFA,,1,16416,0,nan
2025 UFA,,1,14652,0,nan
2025 UFA,,1,13317,0,nan
2025 UFA,,1,12271,0,nan
2025 UFA,,1,15397,0,nan
2025 UFA,,1,15935,0,nan
2025 UFA,,1,17384,0,nan
2025 UFA,,1,15730,0,nan
2025 UFA,,1,12978,0,nan
2025 UFA,,1,11239,0,nan
2025 UFA,,1,15852,0,nan
2025 UFA,,1,12151,0,nan
2025 UFA,,1,16599,0,nan
2025 UFA,,1,12751,0,nan
2025 UFA,,1,16732,0,nan
2025 UFA,,1,9826,0,nan
2025 UFA,,1,16373,0,nan
2025 UFA,,1,15429,0,nan
2025 UFA,,1,16979,0,nan
2025 UFA,,1,15419,0,nan
2025 UFA,,1,15381,0,nan
2025 UFA,,1,15782,0,nan
2025 UFA,,1,16173,0,nan
2025 UFA,,1,13942,0,nan
2025 UFA,,1,15229,0,nan
2025 UFA,,1,16349,0,nan
2025 UFA,,1,16922,0,nan
2025 UFA,,1,17351,0,nan
2025 UFA,,1,17417,0,nan
2025 UFA,,1,16956,0,nan
2025 UFA,,1,14062,0,nan
2025 UFA,,1,16833,0,nan
2025 UFA,,1,13273,0,nan
2025 UFA,,1,17298,0,nan
2025 UFA,,1,14878,0,nan
2025 UFA,,1,12828,0,nan
2025 UFA,,1,16444,0,nan
2025 UFA,,1,16688,0,nan
2025 UFA,,1,10457,0,nan
2025 UFA,,1,14337,0,nan
2025 UFA,,1,13430,0,nan
2025 UFA,,1,16776,0,nan
2025 UFA,,1,16156,0,nan
2025 UFA,,1,16531,0,nan
2025 UFA,,1,16025,0,nan
2025 UFA,,1,16874,0,nan
2025 UFA,,1,16661,0,nan
2025 UFA,,1,14964,0,nan
2025 UFA,,1,15406,0,nan
2025 UFA,,1,16154,0,nan
2025 UFA,,1,15547,0,nan
2025 UFA,,1,16340,0,nan
2025 UFA,,1,12923,0,nan
2025 UFA,,1,12976,0,nan
2025 UFA,,1,14930,0,nan
2025 UFA,,1,17245,0,nan
2025 UFA,,1,17199,0,nan
2025 UFA,,1,14837,0,nan
2025 UFA,,1,15469,0,nan
2025 UFA,,1,16744,0,nan
2025 UFA,,1,16318,0,nan
2025 UFA,,1,17211,0,nan
2025 UFA,,1,13683,0,nan
2025 UFA,,1,11281,0,nan
2025 UFA,,1,16019,0,nan
2025 UFA,,1,16784,0,nan
2025 UFA,,1,14113,0,nan
2025 UFA,,1,15943,0,nan
2025 UFA,,1,16928,0,nan
2025 UFA,,1,16800,0,nan
2025 UFA,,1,13204,0,nan
2025 UFA,,1,15823,0,nan
2025 UFA,,1,14543,0,nan
2025 UFA,,1,14716,0,nan
2025 UFA,,1,15719,0,nan
2025 UFA,,1,14213,0,nan
2025 UFA,,1,14891,0,nan
2025 UFA,,1,13715,0,nan
2025 UFA,,1,16731,0,nan
2025 UFA,,1,16587,0,nan
2025 UFA,,1,14558,0,nan
2025 UFA,,1,15720,0,nan
2025 UFA,,1,17226,0,nan
2025 UFA,,1,14821,0,nan
2025 UFA,,1,16043,0,nan
2025 UFA,,1,17213,0,nan
2025 UFA,,1,16341,0,nan
2025 UFA,,1,16886,0,nan
2025 UFA,,1,16326,0,nan
2025 UFA,,1,13771,0,nan
2025 UFA,,1,16413,0,nan
2025 UFA,,1,16458,0,nan
2025 UFA,,1,12476,0,nan
2025 UFA,,1,10945,0,nan
2025 UFA,,1,16352,0,nan
2025 UFA,,1,17190,0,nan
2025 UFA,,1,16000,0,nan
2025 UFA,,1,14905,0,nan
2025 UFA,,1,14087,0,nan
2025 UFA,,1,17283,0,nan
2025 UFA,,1,16306,0,nan
2025 UFA,,1,15271,0,nan
2025 UFA,,1,13914,0,nan
2025 UFA,,1,16058,0,nan
2025 UFA,,1,15564,0,nan
2025 UFA,,1,12481,0,nan
2025 UFA,,1,15800,0,nan
2025 UFA,,1,17000,0,nan
2025 UFA,,1,15956,0,nan
2025 UFA,,1,12287,0,nan
2025 UFA,,1,16333,0,nan
2025 UFA,,1,17286,0,nan
2025 UFA,,1,16761,0,nan
2025 UFA,,1,16425,0,nan
2025 UFA,,1,14086,0,nan
2025 UFA,,1,13424,0,nan
2025 UFA,,1,12589,0,nan
2025 UFA,,1,13414,0,nan
2025 UFA,,1,13622,0,nan
2025 UFA,,1,16007,0,nan
2025 UFA,,1,15441,0,nan
2025 UFA,,1,13963,0,nan
2025 UFA,,1,15565,0,nan
2025 UFA,,1,16608,0,nan
2025 UFA,,1,14260,0,nan
2025 UFA,,1,17301,0,nan
2025 UFA,,1,16807,0,nan
2025 UFA,,1,14266,0,nan
2025 UFA,,1,14944,0,nan
2025 UFA,,1,13755,0,nan
2025 UFA,,1,14083,0,nan
2025 UFA,,1,16151,0,nan
2025 UFA,,1,13228,0,nan
2025 UFA,,1,12677,0,nan
2025 UFA,,1,11387,0,nan
2025 UFA,,1,16710,0,nan
2025 UFA,,1,16290,0,nan
2025 UFA,,1,15983,0,nan
2025 UFA,,1,15928,0,nan
2025 UFA,,1,12742,0,nan
2025 UFA,,1,16311,0,nan
2025 UFA,,1,15693,0,nan
2025 UFA,,1,13684,0,nan
2025 UFA,,1,14966,0,nan
2025 UFA,,1,17095,0,nan
2025 UFA,,1,14370,0,nan
2025 UFA,,1,9853,0,nan
2025 UFA,,1,13731,0,nan
2025 UFA,,1,16180,0,nan
2025 UFA,,1,16017,0,nan
2025 UFA,,1,14118,0,nan
2025 UFA,,1,17350,0,nan
2025 UFA,,1,13680,0,nan
2025 UFA,,1,13691,0,nan
2025 UFA,,1,16201,0,nan
2025 UFA,,1,16183,0,nan
2025 UFA,,1,11382,0,nan
2025 UFA,,1,17188,0,nan
2025 UFA,,1,14919,0,nan
2025 UFA,,1,16285,0,nan
2025 UFA,,1,16485,0,nan
2025 UFA,,1,17423,0,nan
2025 UFA,,1,14420,0,nan
2025 UFA,,1,16059,0,nan
2025 UFA,,1,15734,0,nan
2025 UFA,,1,17193,0,nan
2025 UFA,,1,14551,0,nan
2025 UFA,,1,14121,0,nan
2025 UFA,,1,16366,0,nan
2025 UFA,,1,17287,0,nan
2025 UFA,,1,16457,0,nan
2025 UFA,,1,16740,0,nan
2025 UFA,,1,17194,0,nan
2025 UFA,,1,17289,0,nan
2025 UFA,,1,15899,0,nan
2025 UFA,,1,15016,0,nan
2025 UFA,,1,17249,0,nan
2025 UFA,,1,15277,0,nan
2025 UFA,,1,13738,0,nan
2025 UFA,,1,15811,0,nan
2025 UFA,,1,13229,0,nan
2025 UFA,,1,17297,0,nan
2025 UFA,,1,17329,0,nan
2025 UFA,,1,16964,0,nan
2025 UFA,,1,16758,0,nan
2025 UFA,,1,15918,0,nan
2025 UFA,,1,9861,0,nan
2025 UFA,,1,16456,0,nan
2025 UFA,,1,17398,0,nan
2025 UFA,,1,17117,0,nan
2025 UFA,,1,17342,0,nan
2025 UFA,,1,16715,0,nan
2025 UFA,,1,17341,0,nan
2025 UFA,,1,16533,0,nan
2025 UFA,,1,15921,0,nan
2025 UFA,,1,14859,0,nan
2025 UFA,,1,14060,0,nan
2025 UFA,,1,16815,0,nan
2025 UFA,,1,16764,0,nan
2025 UFA,,1,16431,0,nan
2025 UFA,,1,16198,0,nan
2025 UFA,,1,16780,0,nan
2025 UFA,,1,15451,0,nan
2025 UFA,,1,15262,0,nan
2025 UFA,,1,16721,0,nan
2025 UFA,,1,12796,0,nan
2025 UFA,,1,14858,0,nan
2025 UFA,,1,16919,0,nan
2025 UFA,,1,11286,0,nan
2025 UFA,,1,17373,0,nan
2025 UFA,,1,13288,0,nan
2025 UFA,,1,14894,0,nan
2025 UFA,,1,13702,0,nan
2025 UFA,,1,15989,0,nan
2025 UFA,,1,17272,0,nan
2025 UFA,,1,16362,0,nan
2025 UFA,,1,12700,0,nan
2025 UFA,,1,17433,0,nan
2025 UFA,,1,15987,0,nan
2025 UFA,,1,15424,0,nan
2025 UFA,,1,15586,0,nan
2025 UFA,,1,16777,0,nan
2025 UFA,,1,14853,0,nan
2025 UFA,,1,16801,0,nan
2025 UFA,,1,14331,0,nan
2025 UFA,,1,16277,0,nan
2025 UFA,,1,16376,0,nan
2025 UFA,,1,16609,0,nan
2025 UFA,,1,14208,0,nan
2025 UFA,,1,16861,0,nan
2025 UFA,,1,17344,0,nan
2025 UFA,,1,15897,0,nan
2025 UFA,,1,17315,0,nan
2025 UFA,,1,14359,0,nan
2025 UFA,,1,14924,0,nan
2025 UFA,,1,15783,0,nan
2025 UFA,,1,13274,0,nan
2025 UFA,,1,9207,0,nan
2025 UFA,,1,16883,0,nan
2025 UFA,,1,14205,0,nan
2025 UFA,,1,17266,0,nan
2025 UFA,,1,15959,0,nan
2025 UFA,,1,15481,0,nan
2025 UFA,,1,16175,0,nan
2025 UFA,,1,13764,0,nan
2025 UFA,,1,14864,0,nan
2025 UFA,,1,16837,0,nan
2025 UFA,,1,13848,0,nan
2025 UFA,,1,16055,0,nan
2025 UFA,,1,16357,0,nan
2025 UFA,,1,15165,0,nan
2025 UFA,,1,16476,0,nan
2025 UFA,,1,17383,0,nan
2025 UFA,,1,16203,0,nan
2025 UFA,,1,13332,0,nan
2025 UFA,,1,11793,0,nan
2025 UFA,,1,12745,0,nan
2025 UFA,,1,16709,0,nan
2025 UFA,,1,15881,0,nan
2025 UFA,,1,17416,0,nan
2025 UFA,,1,16714,0,nan
2025 UFA,,1,16026,0,nan
2025 UFA,,1,16350,0,nan
2025 UFA,,1,12988,0,nan
2025 UFA,,1,10271,0,nan
2025 UFA,,1,13748,0,nan
2025 UFA,,1,15618,0,nan
2025 UFA,,1,16370,0,nan
2025 UFA,,1,15398,0,nan
2025 UFA,,1,17170,0,nan
2025 UFA,,1,16005,0,nan
2025 UFA,,1,14828,0,nan
2025 UFA,,1,17016,0,nan
2025 UFA,,1,15767,0,nan
2025 UFA,,1,16114,0,nan
2025 UFA,,1,13176,0,nan
2025 UFA,,1,15330,0,nan
2025 UFA,,1,16505,0,nan
2025 UFA,,1,13898,0,nan
2025 UFA,,1,15383,0,nan
2025 UFA,,1,9904,0,nan
2025 UFA,,1,17304,0,nan
2025 UFA,,1,12795,0,nan
2025 UFA,,1,17343,0,nan
2025 UFA,,1,11367,0,nan
2025 UFA,,1,17415,0,nan
2025 UFA,,1,16135,0,nan
2025 UFA,,1,17414,0,nan
2025 UFA,,1,16742,0,nan
2025 UFA,,1,15612,0,nan
2025 UFA,,1,16798,0,nan
2025 UFA,,1,14880,0,nan
2025 UFA,,1,16775,0,nan
2025 UFA,,1,13301,0,nan
2025 UFA,,1,12720,0,nan
2025 UFA,,1,14939,0,nan
2025 UFA,,1,10948,0,nan
2025 UFA,,1,14807,0,nan
2025 UFA,,1,13619,0,nan
2025 UFA,,1,15924,0,nan
2025 UFA,,1,12239,0,nan
2025 UFA,,1,17183,0,nan
2025 UFA,,1,14503,0,nan
2025 UFA,,1,17248,0,nan
2025 UFA,,1,13682,0,nan
2025 UFA,,1,15527,0,nan
2025 UFA,,1,17371,0,nan
2025 UFA,,1,16863,0,nan
2025 UFA,,1,15929,0,nan
2025 UFA,,1,12776,0,nan
2025 UFA,,1,17316,0,nan
2025 UFA,,1,17274,0,nan
2025 UFA,,1,13232,0,nan
2025 UFA,,1,16674,0,nan
2025 UFA,,1,13250,0,nan
2025 UFA,,1,17230,0,nan
2025 UFA,,1,15535,0,nan
2025 UFA,,1,17310,0,nan
2025 UFA,,1,16699,0,nan
2025 UFA,,1,17376,0,nan
2025 UFA,,1,14143,0,nan
2025 UFA,,1,16016,0,nan
2025 UFA,,1,15795,0,nan
2025 UFA,,1,17218,0,nan
2025 UFA,,1,13403,0,nan
2025 UFA,,1,15395,0,nan
2025 UFA,,1,13262,0,nan
2025 UFA,,1,17133,0,nan
2025 UFA,,1,17352,0,nan
2025 UFA,,1,15970,0,nan
2025 UFA,,1,17110,0,nan
2025 UFA,,1,14442,0,nan
2025 UFA,,1,16249,0,nan
2025 UFA,,1,17111,0,nan
2025 UFA,,1,16302,0,nan
