salary,id,contractInfo,contractYear,conference
1.18,15860,2022 4.14,1,0
3.41,15715,2022 2.02^,1,0
1.10,13844,2025 ERFA,1,0
1.80,11674,2025 UFA,1,0
7,12175,2025 B/R,1,0
1.44,16696,2024 2.15,3,0
5.38,15484,2024 SRFA,1,0
1.51,16636,2024 2.13,3,0
1.35,16593,2024 3.03,3,0
15.68,10700,2024 UFA,1,0
0.98,16640,2024 5.10,3,0
0.90,17241,2025 UDFA,3,0
24.24,14225,2024 iEXT,4,0
0.90,17256,2025 UDFA,3,0
1.10,15839,2024 R/F,1,0
0.94,16796,2024 UDFA,2,0
2.62,15001,2024 oEXT,3,0
3.38,16581,2024 1.09,3,0
1.80,14978,2025 UFA,1,0
1.10,13592,2024 R/F,1,0
2.14,17032,2025 2.02,4,0
1,13688,2025 R/F,2,0
5.38,10768,2024 SRFA,1,0
1.80,14911,2025 UFA,1,0
2.26,13710,2025 oEXT,1,0
3.07,10816,2024 UFA,2,0
1,16752,2025 UFA,1,0
1.71,15817,2022 2.15,1,0
1.07,16603,2024 4.05,3,0
1.10,14943,2025 ERFA,1,0
1.13,16675,2024 3.17,3,0
2.05,15396,2024 oEXT,1,0
1.80,14219,2025 UFA,1,0
5.35,15821,2022 2.09^,1,0
1.23,16204,2023 3.15,2,0
2.71,14907,2024 iEXT,2,0
0.98,16314,2023 UDFA,1,0
1.07,16265,2023 5.03,2,0
0.98,16278,2023 UDFA,1,0
1.86,15979,2025 UFA,3,0
1.80,13782,2025 UFA,1,0
22.77,12186,2024 UFA,2,0
1.90,14903,2025 UFA,1,0
0.94,17171,2025 5.14,4,0
1.10,13763,2024 R/F,1,0
1,12842,2025 R/F,2,0
6.77,14800,2025 SRFA,2,0
1,13119,2025 UFA,1,0
1.10,14472,2024 R/F,1,0
0.90,17265,2025 UDFA,3,0
1,14108,2025 R/F,2,0
3.45,15755,2022 1.12,1,0
4.82,15779,2024 iEXT,5,0
0.98,16342,2023 UDFA,1,0
1,13281,2025 R/F,2,0
1.80,14823,2025 UFA,1,0
1.80,16187,2023 2.08,2,0
5.20,14921,2023 SRFA,2,0
1,16218,2025 UFA,1,0
1.55,15851,2022 3.04,1,0
1,16663,2025 R/F,2,0
3.09,13697,2023 UFA,2,0
5.38,14322,2024 SRFA,1,0
2.58,17081,2025 1.14,4,0
1.80,13404,2025 UFA,1,0
7,13806,2025 RRFA,3,0
1,13303,2025 R/F,2,0
2.60,15681,2025 UFA,1,0
1.00,16654,2024 4.23,3,0
3.08,14303,2024 oEXT,3,0
1.46,17144,2025 2.15,4,0
10.45,13189,2024 oEXT,2,0
3.43,14879,2024 ORFA4,3,0
1.10,11247,2025 ERFA,1,0
1.00,16595,2024 4.21,2,0
6.65,15253,2025 UFA,2,0
0.95,17056,2025 5.07,4,0
0.98,16351,2023 UDFA,1,0
42.24,11671,2025 NEFT,1,0
0.90,17109,2025 UDFA,3,0
1.26,17135,2025 3.07,4,0
1.80,12860,2025 UFA,1,0
1.37,17103,2025 3.02,4,0
2,14137,2025 UFA,1,0
0.90,17191,2025 UDFA,3,0
0.95,17097,2025 5.08,4,0
1.09,15799,2025 ERFA,1,0
1.60,17107,2025 2.11,4,0
0.90,17243,2025 UDFA,3,0
9.74,15238,2024 iEXT,5,0
1.33,16694,2024 3.04,3,0
1.10,13713,2025 ERFA,1,0
1,9064,2025 R/F,2,0
3.45,16190,2023 1.10,2,0
1.10,12734,2024 R/F,1,0
1,8851,2025 R/F,2,0
1.19,15713,2022 4.10,1,0
6.50,13933,2025 UFA,1,0
1.10,12217,2025 ERFA,1,0
1,15032,2025 UFA,1,0
1.38,16619,2024 3.02,3,0
10.00,13837,2024 UFA,2,0
1,13770,2025 R/F,2,0
4.12,15331,2024 iEXT,2,0
1,14904,2025 R/F,2,0
0.97,17037,2025 4.19,4,0
0.95,17099,2025 5.10,4,0
1,15255,2025 UFA,1,0
1,13888,2025 UFA,1,0
7.22,14224,2025 UFA,2,0
1,11760,2025 UFA,1,0
17.82,13198,2024 UFA,2,0
3.00,14149,2024 iEXT,2,0
1,14244,2025 UFA,1,0
4,13672,2025 UFA,1,0
7.21,16162,2023 1.03,2,0
0.98,17060,2025 4.17,4,0
1,15499,2025 UFA,1,0
0.94,17155,2025 5.21,4,0
1.80,14982,2025 UFA,1,0
1,13317,2025 R/F,2,0
26.62,13163,2023 B/R,1,0
8,13674,2025 UFA,1,0
18.70,12611,2024 UFA,3,0
2.72,17075,2025 1.13,4,0
1.10,16251,2023 4.15,2,0
1.10,15852,2024 R/F,1,0
0.95,17059,2025 5.09,4,0
2.33,17121,2025 1.16,4,0
9.12,14405,2023 iEXT,2,0
1.15,17138,2025 3.14,4,0
1,15381,2025 UFA,1,0
1.08,16667,2024 4.03,2,0
1.10,15337,2025 ERFA,1,0
1.43,17120,2025 2.16,4,0
1.70,16702,2025 oEXT,2,0
1.81,14882,2023 UFA,1,0
5.51,14247,2025 UFA,2,0
1,16444,2025 R/F,2,0
1.04,16688,2024 4.08,2,0
1.03,17141,2025 4.06,4,0
1.02,16661,2024 4.13,3,0
11.66,15708,2022 1.01,1,0
1.08,16235,2023 5.01,1,0
4.90,14930,2025 UFA,1,0
2.76,15834,2022 1.16,1,0
0.90,17199,2025 UDFA,3,0
3.10,15469,2025 UFA,1,0
8.23,17044,2025 1.02,4,0
5.30,12764,2025 UFA,1,0
1.74,17137,2025 2.08,4,0
1.52,15823,2022 3.05,1,0
18,15254,2025 B/R,1,0
1,11872,2025 UFA,1,0
2.05,17072,2025 2.03,4,0
1.10,14213,2025 ERFA,1,0
8.79,16614,2024 1.01,3,0
2.45,17068,2025 1.15,4,0
1,14954,2025 UFA,1,0
1,16352,2025 UFA,1,0
0.90,17105,2025 UDFA,3,0
4.80,17043,2025 1.06,4,0
5.45,13284,2024 oEXT,3,0
1.25,16280,2023 3.13,2,0
26.48,12626,2025 NEFT,1,0
6.35,12676,2025 oEXT,1,0
15.14,14779,2023 iEXT,4,0
3.20,16303,2025 oEXT,1,0
12.35,10266,2025 UFA,2,0
1,16460,2025 R/F,2,0
0.98,16727,2024 5.15,3,0
6.53,12678,2023 UFA,1,0
2.90,17083,2025 1.12,4,0
17.35,14835,2023 iEXT,3,0
6.37,14940,2022 oEXT,3,0
5.20,13742,2023 SRFA,1,0
1.25,15836,2022 4.01,1,0
1.80,14086,2025 UFA,1,0
28.50,12801,2025 B/R,2,0
14.95,14167,2022 iEXT,2,0
3.63,15441,2023 iEXT,1,0
13.60,14138,2022 iEXT,1,0
1,15565,2025 R/F,2,0
6.64,15366,2024 B/R,3,0
1,13289,2025 R/F,2,0
5.80,14182,2025 UFA,1,0
1,13228,2025 UFA,1,0
1,12677,2025 R/F,2,0
16.72,11232,2024 UFA,1,0
3,15361,2025 UFA,1,0
0.90,17234,2025 UDFA,3,0
1.01,17098,2025 4.10,4,0
0.96,17036,2025 5.04,4,0
1.17,15693,2022 4.15,1,0
8.68,15261,2025 oEXT,1,0
5.38,15452,2024 SRFA,2,0
2.32,13223,2024 iEXT,1,0
2.55,16712,2025 UFA,4,0
1,13138,2025 R/F,2,0
9.50,12221,2025 UFA,2,0
0.96,17064,2025 5.02,4,0
7.03,17074,2025 1.03,4,0
23.52,14783,2024 iEXT,5,0
3.69,15805,2022 1.11,1,0
1.50,16183,2023 2.16,2,0
0.90,17188,2025 UDFA,3,0
1,17193,2025 UFA,1,0
0.98,16207,2023 UDFA,1,0
1.06,16598,2024 4.06,3,0
1,16711,2025 R/F,2,0
1,16457,2025 R/F,2,0
0.90,17194,2025 UDFA,3,0
1,13738,2025 R/F,2,0
22.74,13593,2021 EXT,1,0
1,14252,2025 R/F,1,0
1,15921,2025 R/F,2,0
18.81,14073,2024 UFA,1,0
5.15,13714,2024 B/R,2,0
1.04,17055,2025 4.05,4,0
0.90,17201,2025 UDFA,3,0
5.50,12305,2025 B/R,1,0
9.82,17042,2025 1.01,4,0
41.25,14836,2024 NEFToff,3,0
1.10,14858,2025 UFA,1,0
1.02,16662,2024 4.15,2,0
1,13288,2025 R/F,2,0
1.87,14894,2024 UFA,2,0
1.10,14860,2025 ERFA,1,0
8.80,14833,2025 ORFA1,4,0
1,15989,2025 R/F,1,0
1,14924,2025 UFA,1,0
2.24,15809,2022 2.05,1,0
1.80,14861,2025 UFA,1,0
3.10,17048,2025 1.11,4,0
3.87,13764,2025 UFA,3,0
1,17079,2025 UFA,1,0
1.17,16649,2024 3.14,3,0
1.80,14095,2025 UFA,1,0
0.96,17127,2025 5.05,4,0
1,13848,2025 R/F,2,0
3.73,16188,2023 1.09,2,0
10.50,13319,2025 B/R,1,0
3.25,14910,2024 UFA,1,0
5.13,12741,2025 UFA,2,0
1,13332,2025 R/F,2,0
6,14059,2025 UFA,1,0
3.38,14164,2023 oEXT,2,0
3.41,15404,2023 iEXT,3,0
1.80,16350,2025 UFA,1,0
1.90,13748,2025 UFA,1,0
2.10,15868,2025 UFA,1,0
1.86,15398,2025 UFA,3,0
0.90,17170,2025 UDFA,3,0
1.09,15863,2022 5.21,1,0
1,10292,2025 R/F,2,0
5.35,15871,2022 5.02^,1,0
1,13810,2025 UFA,1,0
4.32,17051,2025 1.07,4,0
15.20,13132,2025 UFA,2,0
1.75,16254,2023 2.09,2,0
2.09,15808,2022 2.07,1,0
0.98,16775,2024 5.09,2,0
9.20,11244,2025 UFA,1,0
0.90,17183,2025 UDFA,3,0
1.10,13682,2024 R/F,1,0
4.47,16213,2023 1.07,2,0
1.01,16676,2024 4.17,3,0
0.90,17230,2025 UDFA,3,0
1.10,14899,2024 R/F,1,0
5,13633,2025 UFA,1,0
0.90,17173,2025 UDFA,3,0
24.75,13299,2024 UFA,2,0
5.23,14867,2025 B/R,2,0
1.11,16699,2024 3.20,3,0
1.18,17125,2025 3.12,4,0
0.94,16722,2024 UDFA,2,0
1,14143,2025 R/F,2,0
2.20,15395,2025 oEXT,3,0
1.17,16222,2023 4.04,2,0
15.84,13164,2024 UFA,2,0
2.82,16214,2023 1.13,2,0
3.50,15923,2025 UFA,1,0
37.73,14832,2024 NEFToff,3,0
0.90,17205,2025 UDFA,3,0
1,15240,2025 UFA,1,0
1,16013,2025 R/F,2,0
9.90,13700,2024 B/R,2,0
0.90,17184,2025 UDFA,3,0
0.90,17267,2025 UDFA,3,0
0.99,16672,2024 5.07,3,0
2.15,16651,2024 2.01,3,0
1,16787,2025 UFA,1,0
1,11769,2025 R/F,2,0
14.40,14159,2023 UFA,2,0
17.13,15237,2024 iEXT,4,0
1.80,13632,2025 UFA,1,0
0.94,16591,2024 UDFA,2,0
2.07,16639,2024 2.02,3,0
4,15445,2025 UFA,1,0
0.90,17035,2025 UDFA,3,0
1.90,13227,2025 UFA,1,0
3.87,15798,2024 iEXT,5,0
0.94,16680,2024 UDFA,2,0
0.94,16707,2024 UDFA,2,0
3.05,15822,2022 1.14,1,0
1.29,16604,2024 3.06,3,0
5,12187,2025 UFA,1,0
7.33,15751,2022 1.04,1,0
0.90,17222,2025 UDFA,3,0
10.48,14782,2023 iEXT,2,0
7.22,14179,2024 iEXT,2,0
3.93,17104,2025 1.08,4,0
0.90,17255,2025 UDFA,3,0
1.80,12956,2025 UFA,1,0
5.13,13952,2025 UFA,2,0
3.71,11721,2025 UFA,2,0
9.50,14900,2025 B/R,2,0
0.97,17063,2025 4.18,4,0
1.18,15853,2022 4.12,1,0
37.71,13116,2023 oEXT,4,0
1,14985,2025 R/F,2,0
1.04,16275,2023 5.22,2,0
1,12141,2025 R/F,2,0
1.09,17053,2025 3.20,3,0
1,17200,2025 UFA,1,0
1.05,17159,2025 4.03,4,0
1.67,16263,2023 2.11,2,0
7.60,15972,2025 UFA,2,0
3.67,16580,2024 1.08,3,0
2.53,16212,2023 1.15,2,0
9.33,13590,2021 EXT,1,0
5.35,15794,2022 3.06^,1,0
25,13130,2025 B/R,1,0
1.31,16635,2024 3.05,3,0
4.43,16584,2024 1.06,3,0
1.10,13641,2025 ERFA,1,0
1.81,15895,2023 iEXT,1,0
2.75,16627,2024 1.12,3,0
1,15849,2025 UFA,1,0
1.20,16252,2023 3.18,2,0
1,15473,2025 R/F,2,0
3.19,15845,2024 oEXT,2,0
4.70,15890,2025 UFA,1,0
1,15702,2025 R/F,2,0
4.31,14908,2024 oEXT,2,0
0.98,16670,2024 5.13,3,0
1.80,14717,2025 UFA,1,0
1.80,16390,2025 UFA,1,0
34.11,14109,2025 B/R,3,0
1.24,16628,2024 3.09,3,0
6.11,17071,2025 1.04,4,0
1,16145,2025 UFA,1,0
1.87,15390,2024 iEXT,3,0
1,13143,2025 UFA,1,0
1,15368,2025 R/F,2,0
0.90,17233,2025 UDFA,3,0
1.87,15363,2024 oEXT,5,0
0.93,17238,2025 5.24,4,0
0.98,16695,2024 5.16,2,0
12.11,14102,2022 iEXT,2,0
7.18,14995,2023 iEXT,1,0
9.12,14127,2024 iEXT,1,0
0.90,17239,2025 UDFA,3,0
5.23,13307,2024 UFA,1,0
0.90,17240,2025 UDFA,3,0
2.13,16171,2023 2.03,2,0
0.90,17195,2025 UDFA,3,0
1.12,17033,2025 3.17,4,0
1.64,16189,2023 2.12,2,0
2.41,16197,2023 1.16,2,0
1,14067,2025 R/F,2,0
1.91,16626,2024 2.04,3,0
1,15263,2025 R/F,2,0
5.50,16178,2024 RRFA,2,0
1.10,16690,2024 3.21,3,0
15.22,13131,2024 iEXT,1,0
8.70,15365,2025 UFA,1,0
1.80,15402,2025 UFA,1,0
0.90,17066,2025 UDFA,3,0
0.90,17140,2025 UDFA,3,0
11.50,14071,2024 UFA,1,0
8.25,14974,2025 SRFA,2,0
20.24,13635,2025 UFA,2,0
2,15288,2025 UFA,1,0
4.30,13470,2025 UFA,1,0
0.90,17186,2025 UDFA,3,0
0.90,17129,2025 UDFA,3,0
4.25,11728,2024 iEXT,1,0
1.10,16279,2025 ERFA,1,0
3.43,14798,2024 ORFA2,1,0
1,16759,2025 UFA,1,0
1.01,17153,2025 4.09,4,0
1,13968,2025 UFA,1,0
0.90,17254,2025 UDFA,3,0
3.50,14180,2025 ORFA4,1,0
1.80,16689,2024 2.06,3,0
1.29,16224,2023 3.11,2,0
1,12772,2025 R/F,2,0
3.14,14889,2024 UFA,1,0
22.18,14056,2025 oEXT,3,0
1.71,16215,2023 2.10,2,0
0.94,16725,2024 UDFA,2,0
1,12437,2025 UFA,1,0
6.38,16615,2024 1.03,3,0
1.30,16211,2023 3.10,2,0
0.90,17100,2025 UDFA,3,0
1.02,17046,2025 4.08,4,0
1,14154,2025 R/F,2,0
1.40,16692,2024 3.01,3,0
1.54,16582,2024 2.12,3,0
1.10,14669,2025 ERFA,1,0
8.90,13192,2025 UFA,1,0
1.33,17080,2025 3.04,4,0
1.40,17136,2025 3.01,4,0
0.90,17152,2025 UDFA,3,0
1.25,16679,2024 3.08,3,0
1,12361,2025 UFA,1,0
3.76,13704,2024 UFA,2,0
1.80,15386,2025 UFA,1,0
2.00,15393,2024 oEXT,3,0
5.58,16616,2024 1.04,3,0
1.10,13265,2024 R/F,1,0
1,16369,2025 R/F,2,0
2.20,15385,2025 oEXT,3,0
1.11,16225,2023 4.12,2,0
5.89,14218,2025 UFA,2,0
4.51,15889,2023 oEXT,4,0
0.94,17150,2025 5.12,4,0
4.71,15754,2022 1.08,1,0
0.90,17206,2025 UDFA,3,0
6.48,14158,2025 UFA,3,0
14.52,13813,2023 SRFA,1,0
1.10,14254,2024 R/F,1,0
7.62,12782,2024 UFA,2,0
1.16,16691,2024 3.15,2,0
1.10,15388,2025 ERFA,1,0
3.45,15802,2024 UFA,1,0
4.70,16283,2024 iEXT,2,0
2.98,15378,2024 iEXT,3,0
5.95,15351,2025 B/R,4,0
0.98,16383,2023 UDFA,1,0
5.35,15749,2025 SRFA,2,0
5.50,15319,2025 UFA,1,0
0.90,17163,2025 UDFA,3,0
9.02,15350,2024 iEXT,4,0
1,17212,2025 4.11,4,0
3.71,15345,2024 iEXT,3,0
7.26,13723,2023 SRFA,2,0
1.30,17115,2025 3.05,4,0
2.34,16622,2024 1.15,3,0
0.94,17219,2025 5.22,4,0
2.60,16583,2024 1.13,3,0
1,13133,2025 R/F,1,0
1,12238,2025 R/F,1,0
0.94,16703,2024 UDFA,2,0
3.19,13693,2022 UFA,1,0
8.55,15349,2025 UFA,2,0
3.23,15762,2022 1.13,1,0
6.45,15692,2022 1.05,1,0
2.63,15768,2022 2.01,1,0
2.16,15717,2022 2.06,1,0
1,15448,2025 UFA,1,0
3.41,15850,2022 3.11^,1,0
7.62,14842,2023 iEXT,3,0
8.54,15329,2024 iEXT,5,0
1.10,16102,2025 ERFA,1,0
1.69,16631,2024 2.08,3,0
7.41,14085,2025 UFA,2,0
1.10,16240,2025 ERFA,1,0
1,8930,2025 R/F,2,0
0.90,17101,2025 UDFA,3,0
6.60,14210,2025 UFA,1,0
30.53,12620,2021 EXT,2,0
30.55,15698,2024 iEXT,1,0
7.93,14896,2024 oEXT,2,0
1,12711,2025 R/F,1,0
5.15,12735,2024 UFA,2,0
0.90,17166,2025 UDFA,3,0
0.90,17181,2025 UDFA,3,0
3.38,14186,2023 oEXT,1,0
1.01,16586,2024 4.18,3,0
5.45,13245,2024 B/R,2,0
1,16927,2025 UFA,1,0
1,13774,2025 R/F,1,0
1,12698,2025 R/F,2,0
1.59,16184,2023 2.13,2,0
1.80,14672,2025 UFA,1,0
1,16887,2025 UFA,1,0
0.94,16681,2024 UDFA,1,0
3,13717,2025 UFA,1,0
0.90,17142,2025 UDFA,3,0
1.10,13168,2024 R/F,1,0
2.05,16194,2023 2.04,2,0
9.94,16152,2023 1.01,2,0
1,15697,2025 R/F,2,0
14.11,13629,2024 B/R,1,0
1,15726,2025 R/F,2,0
1,12831,2025 R/F,2,0
0.90,17204,2025 UDFA,3,0
1.10,14957,2025 ERFA,1,0
7.60,12697,2025 UFA,2,0
8.38,16161,2023 1.02,2,0
5.35,15716,2025 SRFA,4,0
1.42,16655,2024 2.16,3,0
1.21,16660,2024 3.11,3,0
1,12785,2025 UFA,1,0
1.30,15757,2022 3.19,1,0
10,7836,2025 UFA,1,0
1,14997,2025 UFA,1,0
1,16174,2025 UFA,1,0
1,16405,2025 R/F,2,0
11.52,15346,2024 iEXT,2,0
1.13,17086,2025 3.16,4,0
1.80,15076,2025 UFA,1,0
1,16292,2025 R/F,2,0
1.06,16698,2024 4.07,3,0
1.11,17047,2025 3.18,4,0
14.08,14136,2025 ORFA2,2,0
1,15975,2025 R/F,2,0
1,13431,2025 R/F,2,0
1.39,16231,2023 3.05,2,0
1.22,16643,2024 3.10,2,0
1.10,13832,2025 ERFA,1,0
1,14079,2025 R/F,2,0
0.90,17062,2025 UDFA,3,0
1.06,17031,2025 4.02,4,0
1,17139,2025 4.12,4,0
0.90,17167,2025 UDFA,3,0
1,11945,2025 UFA,1,0
1,14215,2025 R/F,2,0
1,14197,2025 R/F,2,0
0.90,17116,2025 UDFA,3,0
3.73,16221,2024 iEXT,5,0
7.44,13772,2024 iEXT,2,0
1.85,17147,2025 2.06,4,0
1,14302,2025 UFA,1,0
0.99,17119,2025 4.13,4,0
1,13694,2025 UFA,1,0
5.42,16080,2025 oEXT,3,0
3.41,15761,2022 4.04^,1,0
1,12658,2025 UFA,1,0
1.10,13744,2024 R/F,1,0
1.10,15428,2025 ERFA,1,0
0.99,16601,2024 5.08,2,0
1.23,17039,2025 3.09,4,0
15,13839,2025 RRFA,3,0
1,17207,2025 UFA,1,0
10.99,14163,2023 oEXT,1,0
2.57,12767,2024 UFA,2,0
0.90,17178,2025 UDFA,3,0
1.28,16234,2023 3.12,2,0
1,14080,2025 R/F,1,0
7.59,14412,2024 oEXT,1,0
1.62,16644,2024 2.10,3,0
1.69,17045,2025 2.09,4,0
1.80,11348,2025 UFA,1,0
1.80,14122,2025 UFA,1,0
0.90,17175,2025 UDFA,3,0
0.94,17049,2025 5.15,4,0
18.66,15282,2024 iEXT,4,0
7.60,11150,2025 B/R,2,0
1.10,10783,2024 R/F,1,0
0.90,17168,2025 UDFA,3,0
1.09,13193,2025 ERFA,1,0
0.99,16697,2024 5.06,3,0
1.13,16258,2023 4.07,2,0
1.41,16228,2023 3.04,2,0
9,13696,2025 B/R,3,0
1.02,16708,2024 4.14,3,0
4.95,16185,2023 1.06,2,0
1,14956,2025 R/F,1,0
1.34,16165,2023 3.07,2,0
2.50,14257,2025 UFA,1,0
1.87,16870,2025 oEXT,3,0
1.09,13987,2025 ERFA,1,0
34.24,15287,2024 iEXT,4,0
1,17330,2025 UFA,1,0
12.89,9431,2024 SRFA,2,0
1.28,17132,2025 3.06,4,0
1,15405,2025 UFA,1,0
9.56,15259,2024 iEXT,3,0
0.98,16267,2023 UDFA,1,0
5.35,13298,2025 SRFA,2,0
0.90,17118,2025 UDFA,3,0
1.14,17114,2025 3.15,3,0
3.04,16729,2025 UFA,2,0
1.85,16344,2025 oEXT,2,0
5.35,15832,2022 4.11^,1,0
1.80,15003,2025 UFA,1,0
1.87,16011,2024 UFA,4,0
1.10,15884,2022 5.13,1,0
0.90,17169,2025 UDFA,3,0
0.98,16642,2024 5.12,3,0
1.10,16269,2025 ERFA,1,0
0.90,17217,2025 UDFA,3,0
6.27,16150,2023 1.04,2,0
1.20,17126,2025 3.11,4,0
1.80,15362,2025 UFA,1,0
20.33,13630,2024 iEXT,1,0
4.69,13690,2023 UFA,1,0
7.67,14148,2025 oEXT,4,0
1.12,16693,2024 3.19,3,0
11.88,14797,2024 UFA,2,0
0.90,17198,2025 UDFA,3,0
13.60,14778,2025 B/R,5,0
1.10,14200,2024 R/F,1,0
6.30,15856,2025 UFA,1,0
1,14923,2025 UFA,1,0
17.60,14802,2024 iEXT,2,0
1.90,16817,2025 UFA,2,0
1.52,17106,2025 2.13,4,0
1.03,16724,2024 4.12,3,0
1.09,15859,2025 ERFA,1,0
1.10,16717,2025 ERFA,1,0
1.21,17157,2025 3.10,4,0
1,14918,2025 UFA,1,0
2.89,15806,2022 1.15,1,0
13,11938,2025 RRFA,2,0
3.14,16618,2024 1.10,3,0
0.90,17143,2025 UDFA,3,0
2.73,14518,2023 UFA,1,0
7.33,12231,2022 B/R,1,0
0.94,17087,2025 5.17,4,0
0.98,16624,2024 5.11,3,0
