year,draft_year,team,position,id,stats_global_id,draft_team,name,twitter_username,cbs_id,fleaflicker_id,stats_id,status,sportsdata_id,height,rotowire_id,draft_round,weight,college,rotoworld_id,jersey,espn_id,birthdate,draft_pick,nfl_id
2022,1970,BUF,TMWR,0151,0,BUF,"Bills, Buffalo",,,,,,,,,,,,,,,,,
2022,1970,IND,TMWR,0152,0,IND,"Colts, Indianapolis",,,,,,,,,,,,,,,,,
2022,1970,MIA,TMWR,0153,0,MIA,"Dolphins, Miami",,,,,,,,,,,,,,,,,
2022,1970,NEP,TMWR,0154,0,NEP,"Patriots, New England",,,,,,,,,,,,,,,,,
2022,1970,NYJ,TMWR,0155,0,NYJ,"Jets, New York",,,,,,,,,,,,,,,,,
2022,1970,CIN,TMWR,0156,0,CIN,"Bengals, Cincinnati",,,,,,,,,,,,,,,,,
2022,1970,CLE,TMWR,0157,0,CLE,"Browns, Cleveland",,,,,,,,,,,,,,,,,
2022,1970,TEN,TMWR,0158,0,TEN,"Titans, Tennessee",,,,,,,,,,,,,,,,,
2022,1970,JAC,TMWR,0159,0,JAC,"Jaguars, Jacksonville",,,,,,,,,,,,,,,,,
2022,1970,PIT,TMWR,0160,0,PIT,"Steelers, Pittsburgh",,,,,,,,,,,,,,,,,
2022,1970,DEN,TMWR,0161,0,DEN,"Broncos, Denver",,,,,,,,,,,,,,,,,
2022,1970,KCC,TMWR,0162,0,KCC,"Chiefs, Kansas City",,,,,,,,,,,,,,,,,
2022,1970,LVR,TMWR,0163,0,OAK,"Raiders, Las Vegas",,,,,,,,,,,,,,,,,
2022,1970,LAC,TMWR,0164,0,FA,"Chargers, Los Angeles",,,,,,,,,,,,,,,,,
2022,1970,SEA,TMWR,0165,0,SEA,"Seahawks, Seattle",,,,,,,,,,,,,,,,,
2022,1970,DAL,TMWR,0166,0,DAL,"Cowboys, Dallas",,,,,,,,,,,,,,,,,
2022,1970,NYG,TMWR,0167,0,NYG,"Giants, New York",,,,,,,,,,,,,,,,,
2022,1970,PHI,TMWR,0168,0,PHI,"Eagles, Philadelphia",,,,,,,,,,,,,,,,,
2022,1970,ARI,TMWR,0169,0,ARI,"Cardinals, Arizona",,,,,,,,,,,,,,,,,
2022,1970,WAS,TMWR,0170,0,WAS,"Commanders, Washington",,,,,,,,,,,,,,,,,
2022,1970,CHI,TMWR,0171,0,CHI,"Bears, Chicago",,,,,,,,,,,,,,,,,
2022,1970,DET,TMWR,0172,0,DET,"Lions, Detroit",,,,,,,,,,,,,,,,,
2022,1970,GBP,TMWR,0173,0,GBP,"Packers, Green Bay",,,,,,,,,,,,,,,,,
2022,1970,MIN,TMWR,0174,0,MIN,"Vikings, Minnesota",,,,,,,,,,,,,,,,,
2022,1970,TBB,TMWR,0175,0,TBB,"Buccaneers, Tampa Bay",,,,,,,,,,,,,,,,,
2022,1970,ATL,TMWR,0176,0,ATL,"Falcons, Atlanta",,,,,,,,,,,,,,,,,
2022,1970,CAR,TMWR,0177,0,CAR,"Panthers, Carolina",,,,,,,,,,,,,,,,,
2022,1970,LAR,TMWR,0178,0,FA,"Rams, Los Angeles",,,,,,,,,,,,,,,,,
2022,1970,NOS,TMWR,0179,0,NOS,"Saints, New Orleans",,,,,,,,,,,,,,,,,
2022,1970,SFO,TMWR,0180,0,SFO,"49ers, San Francisco",,,,,,,,,,,,,,,,,
2022,1970,BAL,TMWR,0181,0,BAL,"Ravens, Baltimore",,,,,,,,,,,,,,,,,
2022,1970,HOU,TMWR,0182,0,HOU,"Texans, Houston",,,,,,,,,,,,,,,,,
2022,1970,BUF,TMRB,0201,0,BUF,"Bills, Buffalo",,,,,,,,,,,,,,,,,
2022,1970,IND,TMRB,0202,0,IND,"Colts, Indianapolis",,,,,,,,,,,,,,,,,
2022,1970,MIA,TMRB,0203,0,MIA,"Dolphins, Miami",,,,,,,,,,,,,,,,,
2022,1970,NEP,TMRB,0204,0,NEP,"Patriots, New England",,,,,,,,,,,,,,,,,
2022,1970,NYJ,TMRB,0205,0,NYJ,"Jets, New York",,,,,,,,,,,,,,,,,
