year,team,position,id,name,draft_team,draft_year,stats_global_id,twitter_username,stats_id,cbs_id,fleaflicker_id,height,jersey,rotowire_id,sportsdata_id,draft_pick,weight,draft_round,college,rotoworld_id,birthdate,espn_id,nfl_id,status
2024,BUF,TMWR,0151,"Bills, Buffalo",BUF,1970,0,,,,,,,,,,,,,,,,,
2024,IND,TMWR,0152,"Colts, Indianapolis",IND,1970,0,,,,,,,,,,,,,,,,,
2024,MIA,TMWR,0153,"Dolphins, Miami",MIA,1970,0,,,,,,,,,,,,,,,,,
2024,NEP,TMWR,0154,"Patriots, New England",NEP,1970,0,,,,,,,,,,,,,,,,,
2024,NYJ,TMWR,0155,"Jets, New York",NYJ,1970,0,,,,,,,,,,,,,,,,,
2024,CIN,TMWR,0156,"Bengals, Cincinnati",CIN,1970,0,,,,,,,,,,,,,,,,,
2024,CLE,TMWR,0157,"Browns, Cleveland",CLE,1970,0,,,,,,,,,,,,,,,,,
2024,TEN,TMWR,0158,"Titans, Tennessee",TEN,1970,0,,,,,,,,,,,,,,,,,
2024,JAC,TMWR,0159,"Jaguars, Jacksonville",JAC,1970,0,,,,,,,,,,,,,,,,,
2024,PIT,TMWR,0160,"Steelers, Pittsburgh",PIT,1970,0,,,,,,,,,,,,,,,,,
2024,DEN,TMWR,0161,"Broncos, Denver",DEN,1970,0,,,,,,,,,,,,,,,,,
2024,KCC,TMWR,0162,"Chiefs, Kansas City",KCC,1970,0,,,,,,,,,,,,,,,,,
2024,LVR,TMWR,0163,"Raiders, Las Vegas",OAK,1970,0,,,,,,,,,,,,,,,,,
2024,LAC,TMWR,0164,"Chargers, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2024,SEA,TMWR,0165,"Seahawks, Seattle",SEA,1970,0,,,,,,,,,,,,,,,,,
2024,DAL,TMWR,0166,"Cowboys, Dallas",DAL,1970,0,,,,,,,,,,,,,,,,,
2024,NYG,TMWR,0167,"Giants, New York",NYG,1970,0,,,,,,,,,,,,,,,,,
2024,PHI,TMWR,0168,"Eagles, Philadelphia",PHI,1970,0,,,,,,,,,,,,,,,,,
2024,ARI,TMWR,0169,"Cardinals, Arizona",ARI,1970,0,,,,,,,,,,,,,,,,,
2024,WAS,TMWR,0170,"Commanders, Washington",WAS,1970,0,,,,,,,,,,,,,,,,,
2024,CHI,TMWR,0171,"Bears, Chicago",CHI,1970,0,,,,,,,,,,,,,,,,,
2024,DET,TMWR,0172,"Lions, Detroit",DET,1970,0,,,,,,,,,,,,,,,,,
2024,GBP,TMWR,0173,"Packers, Green Bay",GBP,1970,0,,,,,,,,,,,,,,,,,
2024,MIN,TMWR,0174,"Vikings, Minnesota",MIN,1970,0,,,,,,,,,,,,,,,,,
2024,TBB,TMWR,0175,"Buccaneers, Tampa Bay",TBB,1970,0,,,,,,,,,,,,,,,,,
2024,ATL,TMWR,0176,"Falcons, Atlanta",ATL,1970,0,,,,,,,,,,,,,,,,,
2024,CAR,TMWR,0177,"Panthers, Carolina",CAR,1970,0,,,,,,,,,,,,,,,,,
2024,LAR,TMWR,0178,"Rams, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2024,NOS,TMWR,0179,"Saints, New Orleans",NOS,1970,0,,,,,,,,,,,,,,,,,
2024,SFO,TMWR,0180,"49ers, San Francisco",SFO,1970,0,,,,,,,,,,,,,,,,,
2024,BAL,TMWR,0181,"Ravens, Baltimore",BAL,1970,0,,,,,,,,,,,,,,,,,
2024,HOU,TMWR,0182,"Texans, Houston",HOU,1970,0,,,,,,,,,,,,,,,,,
2024,BUF,TMRB,0201,"Bills, Buffalo",BUF,1970,0,,,,,,,,,,,,,,,,,
2024,IND,TMRB,0202,"Colts, Indianapolis",IND,1970,0,,,,,,,,,,,,,,,,,
2024,MIA,TMRB,0203,"Dolphins, Miami",MIA,1970,0,,,,,,,,,,,,,,,,,
2024,NEP,TMRB,0204,"Patriots, New England",NEP,1970,0,,,,,,,,,,,,,,,,,
2024,NYJ,TMRB,0205,"Jets, New York",NYJ,1970,0,,,,,,,,,,,,,,,,,
2024,CIN,TMRB,0206,"Bengals, Cincinnati",CIN,1970,0,,,,,,,,,,,,,,,,,
2024,CLE,TMRB,0207,"Browns, Cleveland",CLE,1970,0,,,,,,,,,,,,,,,,,
2024,TEN,TMRB,0208,"Titans, Tennessee",TEN,1970,0,,,,,,,,,,,,,,,,,
2024,JAC,TMRB,0209,"Jaguars, Jacksonville",JAC,1970,0,,,,,,,,,,,,,,,,,
2024,PIT,TMRB,0210,"Steelers, Pittsburgh",PIT,1970,0,,,,,,,,,,,,,,,,,
2024,DEN,TMRB,0211,"Broncos, Denver",DEN,1970,0,,,,,,,,,,,,,,,,,
2024,KCC,TMRB,0212,"Chiefs, Kansas City",KCC,1970,0,,,,,,,,,,,,,,,,,
2024,LVR,TMRB,0213,"Raiders, Las Vegas",OAK,1970,0,,,,,,,,,,,,,,,,,
2024,LAC,TMRB,0214,"Chargers, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2024,SEA,TMRB,0215,"Seahawks, Seattle",SEA,1970,0,,,,,,,,,,,,,,,,,
2024,DAL,TMRB,0216,"Cowboys, Dallas",DAL,1970,0,,,,,,,,,,,,,,,,,
2024,NYG,TMRB,0217,"Giants, New York",NYG,1970,0,,,,,,,,,,,,,,,,,
2024,PHI,TMRB,0218,"Eagles, Philadelphia",PHI,1970,0,,,,,,,,,,,,,,,,,
2024,ARI,TMRB,0219,"Cardinals, Arizona",ARI,1970,0,,,,,,,,,,,,,,,,,
