year,draft_team,name,position,id,team,stats_global_id,draft_year,twitter_username,stats_id,cbs_id,fleaflicker_id,status,jersey,college,weight,rotowire_id,sportsdata_id,height,rotoworld_id,draft_round,espn_id,birthdate,nfl_id,draft_pick
2019,BUF,"Bills, Buffalo",TMWR,0151,BUF,0,1970,,,,,,,,,,,,,,,,,
2019,IND,"Colts, Indianapolis",TMWR,0152,IND,0,1970,,,,,,,,,,,,,,,,,
2019,MIA,"Dolphins, Miami",TMWR,0153,MIA,0,1970,,,,,,,,,,,,,,,,,
2019,NEP,"Patriots, New England",TMWR,0154,NEP,0,1970,,,,,,,,,,,,,,,,,
2019,NYJ,"Jets, New York",TMWR,0155,NYJ,0,1970,,,,,,,,,,,,,,,,,
2019,CIN,"Bengals, Cincinnati",TMWR,0156,CIN,0,1970,,,,,,,,,,,,,,,,,
2019,CLE,"Browns, Cleveland",TMWR,0157,CLE,0,1970,,,,,,,,,,,,,,,,,
2019,TEN,"Titans, Tennessee",TMWR,0158,TEN,0,1970,,,,,,,,,,,,,,,,,
2019,JAC,"Jaguars, Jacksonville",TMWR,0159,JAC,0,1970,,,,,,,,,,,,,,,,,
2019,PIT,"Steelers, Pittsburgh",TMWR,0160,PIT,0,1970,,,,,,,,,,,,,,,,,
2019,DEN,"Broncos, Denver",TMWR,0161,DEN,0,1970,,,,,,,,,,,,,,,,,
2019,KCC,"Chiefs, Kansas City",TMWR,0162,KCC,0,1970,,,,,,,,,,,,,,,,,
2019,OAK,"Raiders, Oakland",TMWR,0163,OAK,0,1970,,,,,,,,,,,,,,,,,
2019,FA,"Chargers, Los Angeles",TMWR,0164,LAC,0,1970,,,,,,,,,,,,,,,,,
2019,SEA,"Seahawks, Seattle",TMWR,0165,SEA,0,1970,,,,,,,,,,,,,,,,,
2019,DAL,"Cowboys, Dallas",TMWR,0166,DAL,0,1970,,,,,,,,,,,,,,,,,
2019,NYG,"Giants, New York",TMWR,0167,NYG,0,1970,,,,,,,,,,,,,,,,,
2019,PHI,"Eagles, Philadelphia",TMWR,0168,PHI,0,1970,,,,,,,,,,,,,,,,,
2019,ARI,"Cardinals, Arizona",TMWR,0169,ARI,0,1970,,,,,,,,,,,,,,,,,
2019,WAS,"Redskins, Washington",TMWR,0170,WAS,0,1970,,,,,,,,,,,,,,,,,
2019,CHI,"Bears, Chicago",TMWR,0171,CHI,0,1970,,,,,,,,,,,,,,,,,
2019,DET,"Lions, Detroit",TMWR,0172,DET,0,1970,,,,,,,,,,,,,,,,,
2019,GBP,"Packers, Green Bay",TMWR,0173,GBP,0,1970,,,,,,,,,,,,,,,,,
2019,MIN,"Vikings, Minnesota",TMWR,0174,MIN,0,1970,,,,,,,,,,,,,,,,,
2019,TBB,"Buccaneers, Tampa Bay",TMWR,0175,TBB,0,1970,,,,,,,,,,,,,,,,,
2019,ATL,"Falcons, Atlanta",TMWR,0176,ATL,0,1970,,,,,,,,,,,,,,,,,
2019,CAR,"Panthers, Carolina",TMWR,0177,CAR,0,1970,,,,,,,,,,,,,,,,,
2019,FA,"Rams, Los Angeles",TMWR,0178,LAR,0,1970,,,,,,,,,,,,,,,,,
2019,NOS,"Saints, New Orleans",TMWR,0179,NOS,0,1970,,,,,,,,,,,,,,,,,
2019,SFO,"49ers, San Francisco",TMWR,0180,SFO,0,1970,,,,,,,,,,,,,,,,,
2019,BAL,"Ravens, Baltimore",TMWR,0181,BAL,0,1970,,,,,,,,,,,,,,,,,
2019,HOU,"Texans, Houston",TMWR,0182,HOU,0,1970,,,,,,,,,,,,,,,,,
2019,BUF,"Bills, Buffalo",TMRB,0201,BUF,0,1970,,,,,,,,,,,,,,,,,
2019,IND,"Colts, Indianapolis",TMRB,0202,IND,0,1970,,,,,,,,,,,,,,,,,
2019,MIA,"Dolphins, Miami",TMRB,0203,MIA,0,1970,,,,,,,,,,,,,,,,,
2019,NEP,"Patriots, New England",TMRB,0204,NEP,0,1970,,,,,,,,,,,,,,,,,
2019,NYJ,"Jets, New York",TMRB,0205,NYJ,0,1970,,,,,,,,,,,,,,,,,
2019,CIN,"Bengals, Cincinnati",TMRB,0206,CIN,0,1970,,,,,,,,,,,,,,,,,
2019,CLE,"Browns, Cleveland",TMRB,0207,CLE,0,1970,,,,,,,,,,,,,,,,,
2019,TEN,"Titans, Tennessee",TMRB,0208,TEN,0,1970,,,,,,,,,,,,,,,,,
2019,JAC,"Jaguars, Jacksonville",TMRB,0209,JAC,0,1970,,,,,,,,,,,,,,,,,
2019,PIT,"Steelers, Pittsburgh",TMRB,0210,PIT,0,1970,,,,,,,,,,,,,,,,,
2019,DEN,"Broncos, Denver",TMRB,0211,DEN,0,1970,,,,,,,,,,,,,,,,,
2019,KCC,"Chiefs, Kansas City",TMRB,0212,KCC,0,1970,,,,,,,,,,,,,,,,,
2019,OAK,"Raiders, Oakland",TMRB,0213,OAK,0,1970,,,,,,,,,,,,,,,,,
2019,FA,"Chargers, Los Angeles",TMRB,0214,LAC,0,1970,,,,,,,,,,,,,,,,,
2019,SEA,"Seahawks, Seattle",TMRB,0215,SEA,0,1970,,,,,,,,,,,,,,,,,
2019,DAL,"Cowboys, Dallas",TMRB,0216,DAL,0,1970,,,,,,,,,,,,,,,,,
2019,NYG,"Giants, New York",TMRB,0217,NYG,0,1970,,,,,,,,,,,,,,,,,
2019,PHI,"Eagles, Philadelphia",TMRB,0218,PHI,0,1970,,,,,,,,,,,,,,,,,
2019,ARI,"Cardinals, Arizona",TMRB,0219,ARI,0,1970,,,,,,,,,,,,,,,,,
2019,WAS,"Redskins, Washington",TMRB,0220,WAS,0,1970,,,,,,,,,,,,,,,,,
2019,CHI,"Bears, Chicago",TMRB,0221,CHI,0,1970,,,,,,,,,,,,,,,,,
2019,DET,"Lions, Detroit",TMRB,0222,DET,0,1970,,,,,,,,,,,,,,,,,
2019,GBP,"Packers, Green Bay",TMRB,0223,GBP,0,1970,,,,,,,,,,,,,,,,,
2019,MIN,"Vikings, Minnesota",TMRB,0224,MIN,0,1970,,,,,,,,,,,,,,,,,
2019,TBB,"Buccaneers, Tampa Bay",TMRB,0225,TBB,0,1970,,,,,,,,,,,,,,,,,
2019,ATL,"Falcons, Atlanta",TMRB,0226,ATL,0,1970,,,,,,,,,,,,,,,,,
2019,CAR,"Panthers, Carolina",TMRB,0227,CAR,0,1970,,,,,,,,,,,,,,,,,
2019,FA,"Rams, Los Angeles",TMRB,0228,LAR,0,1970,,,,,,,,,,,,,,,,,
2019,NOS,"Saints, New Orleans",TMRB,0229,NOS,0,1970,,,,,,,,,,,,,,,,,
2019,SFO,"49ers, San Francisco",TMRB,0230,SFO,0,1970,,,,,,,,,,,,,,,,,
2019,BAL,"Ravens, Baltimore",TMRB,0231,BAL,0,1970,,,,,,,,,,,,,,,,,
2019,HOU,"Texans, Houston",TMRB,0232,HOU,0,1970,,,,,,,,,,,,,,,,,
2019,BUF,"Bills, Buffalo",TMDL,0251,BUF,0,1970,buffalobills,,,,,,,,,,,,,,,,
2019,IND,"Colts, Indianapolis",TMDL,0252,IND,0,1970,nflcolts,,,,,,,,,,,,,,,,
2019,MIA,"Dolphins, Miami",TMDL,0253,MIA,0,1970,MiamiDolphins,,,,,,,,,,,,,,,,
2019,NEP,"Patriots, New England",TMDL,0254,NEP,0,1970,patriots,,,,,,,,,,,,,,,,
2019,NYJ,"Jets, New York",TMDL,0255,NYJ,0,1970,nyjets,,,,,,,,,,,,,,,,
2019,CIN,"Bengals, Cincinnati",TMDL,0256,CIN,0,1970,Bengals,,,,,,,,,,,,,,,,
2019,CLE,"Browns, Cleveland",TMDL,0257,CLE,0,1970,OfficialBrowns,,,,,,,,,,,,,,,,
2019,TEN,"Titans, Tennessee",TMDL,0258,TEN,0,1970,tennesseetitans,,,,,,,,,,,,,,,,
2019,JAC,"Jaguars, Jacksonville",TMDL,0259,JAC,0,1970,jaguarsinsider,,,,,,,,,,,,,,,,
2019,PIT,"Steelers, Pittsburgh",TMDL,0260,PIT,0,1970,steelers,,,,,,,,,,,,,,,,
2019,DEN,"Broncos, Denver",TMDL,0261,DEN,0,1970,DenverBroncos,,,,,,,,,,,,,,,,
2019,KCC,"Chiefs, Kansas City",TMDL,0262,KCC,0,1970,kcchiefs,,,,,,,,,,,,,,,,
2019,OAK,"Raiders, Oakland",TMDL,0263,OAK,0,1970,raiders,,,,,,,,,,,,,,,,
2019,FA,"Chargers, Los Angeles",TMDL,0264,LAC,0,1970,chargers,,,,,,,,,,,,,,,,
2019,SEA,"Seahawks, Seattle",TMDL,0265,SEA,0,1970,seahawks,,,,,,,,,,,,,,,,
2019,DAL,"Cowboys, Dallas",TMDL,0266,DAL,0,1970,dallascowboys,,,,,,,,,,,,,,,,
2019,NYG,"Giants, New York",TMDL,0267,NYG,0,1970,giants,,,,,,,,,,,,,,,,
2019,PHI,"Eagles, Philadelphia",TMDL,0268,PHI,0,1970,Eagles,,,,,,,,,,,,,,,,
2019,ARI,"Cardinals, Arizona",TMDL,0269,ARI,0,1970,AZCardinals,,,,,,,,,,,,,,,,
2019,WAS,"Redskins, Washington",TMDL,0270,WAS,0,1970,Redskins,,,,,,,,,,,,,,,,
2019,CHI,"Bears, Chicago",TMDL,0271,CHI,0,1970,ChicagoBears,,,,,,,,,,,,,,,,
2019,DET,"Lions, Detroit",TMDL,0272,DET,0,1970,detroitlionsnfl,,,,,,,,,,,,,,,,
2019,GBP,"Packers, Green Bay",TMDL,0273,GBP,0,1970,packers,,,,,,,,,,,,,,,,
2019,MIN,"Vikings, Minnesota",TMDL,0274,MIN,0,1970,Vikings,,,,,,,,,,,,,,,,
2019,TBB,"Buccaneers, Tampa Bay",TMDL,0275,TBB,0,1970,TBBuccaneers,,,,,,,,,,,,,,,,
2019,ATL,"Falcons, Atlanta",TMDL,0276,ATL,0,1970,AtlantaFalcons,,,,,,,,,,,,,,,,
2019,CAR,"Panthers, Carolina",TMDL,0277,CAR,0,1970,Panthers,,,,,,,,,,,,,,,,
2019,FA,"Rams, Los Angeles",TMDL,0278,LAR,0,1970,STLouisRams,,,,,,,,,,,,,,,,
2019,NOS,"Saints, New Orleans",TMDL,0279,NOS,0,1970,saints,,,,,,,,,,,,,,,,
2019,SFO,"49ers, San Francisco",TMDL,0280,SFO,0,1970,49ers,,,,,,,,,,,,,,,,
2019,BAL,"Ravens, Baltimore",TMDL,0281,BAL,0,1970,ravens,,,,,,,,,,,,,,,,
2019,HOU,"Texans, Houston",TMDL,0282,HOU,0,1970,houstontexans,,,,,,,,,,,,,,,,
2019,BUF,"Bills, Buffalo",TMLB,0301,BUF,0,1970,buffalobills,,,,,,,,,,,,,,,,
2019,IND,"Colts, Indianapolis",TMLB,0302,IND,0,1970,nflcolts,,,,,,,,,,,,,,,,
2019,MIA,"Dolphins, Miami",TMLB,0303,MIA,0,1970,MiamiDolphins,,,,,,,,,,,,,,,,
2019,NEP,"Patriots, New England",TMLB,0304,NEP,0,1970,patriots,,,,,,,,,,,,,,,,
2019,NYJ,"Jets, New York",TMLB,0305,NYJ,0,1970,nyjets,,,,,,,,,,,,,,,,
2019,CIN,"Bengals, Cincinnati",TMLB,0306,CIN,0,1970,Bengals,,,,,,,,,,,,,,,,
2019,CLE,"Browns, Cleveland",TMLB,0307,CLE,0,1970,OfficialBrowns,,,,,,,,,,,,,,,,
2019,TEN,"Titans, Tennessee",TMLB,0308,TEN,0,1970,tennesseetitans,,,,,,,,,,,,,,,,
2019,JAC,"Jaguars, Jacksonville",TMLB,0309,JAC,0,1970,jaguarsinsider,,,,,,,,,,,,,,,,
2019,PIT,"Steelers, Pittsburgh",TMLB,0310,PIT,0,1970,steelers,,,,,,,,,,,,,,,,
